,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-05-31,USD,6932100000,19857200000,12925100000,12925100000,3431700000,2358400000,257800000,3500400000,None,-479200000,18800000,498000000,None,None,None,552700000,3028300000,594500000,None,2518600000,None,3526300000,4079000000,2496600000,3302600000,None,None,None,None,552700000,774100000,None,287600000,None,None,-2272300000,None,None,None,None,1363400000,1363400000,None,None,None,None,-2002400000,None,None,None,2025-03-19,1,0.96,0.04,4.1667,pre-market
1,2023-05-31,USD,6545800000,20094200000,13548400000,13548400000,3433800000,2690400000,257600000,3112000000,None,-382100000,14000000,396100000,None,81300000,None,546600000,3140500000,612200000,None,2528300000,None,3536600000,4083200000,2593900000,2778600000,None,None,None,None,546600000,689500000,None,-319000000,None,-346400000,-2404100000,None,None,None,None,1287900000,1287900000,None,None,None,None,-1403600000,None,28100000,None,2024-12-18,1.4,1.22,0.18,14.7541,pre-market
2,2022-05-31,USD,6402200000,18992800000,12590600000,12590600000,3475800000,2456900000,243100000,2926400000,None,-379600000,3800000,383400000,None,None,None,570300000,3209600000,586300000,None,2735000000,None,3593000000,4163300000,2707300000,3316100000,None,None,None,None,570300000,568700000,None,-85800000,None,-1690700000,-2503200000,None,None,None,None,1244500000,1244500000,None,None,None,None,-876800000,None,None,None,2024-09-18,1.07,1.06,0.01,0.9434,pre-market
3,2021-05-31,USD,6448300000,18127000000,11678700000,11678700000,3144800000,2343300000,239300000,3303500000,None,-420300000,7400000,427700000,None,117700000,None,601300000,2857400000,629100000,None,2346000000,None,3285100000,3886400000,2339800000,2983200000,None,None,None,None,601300000,530800000,None,-354700000,None,-512800000,-2715500000,None,None,None,None,1246400000,1246400000,None,None,None,None,-301400000,None,-172600000,72500000,2024-06-26,1.01,0.99,0.02,2.0202,pre-market
4,2020-05-31,USD,6129900000,17626600000,11496700000,11496700000,2953900000,2459800000,224400000,3176000000,None,-466500000,6000000,472500000,None,91100000,None,594700000,2600200000,480500000,None,2119700000,None,3072700000,3667400000,2181200000,3676200000,None,None,None,None,594700000,460800000,None,103100000,None,-486200000,-1941500000,None,None,None,None,1195800000,1195800000,None,None,None,None,-3400000,None,1227800000,-20700000,2024-03-20,1.17,1.05,0.12,11.4286,pre-market
5,2019-05-31,USD,5756800000,16865200000,11108400000,11108400000,2515900000,2334200000,221900000,3240900000,None,-521800000,5600000,527400000,None,72000000,None,620100000,2082000000,367800000,None,1714200000,None,2609400000,3229500000,1752700000,2807000000,None,None,None,None,620100000,537600000,None,53700000,None,-556500000,-2176400000,None,None,None,None,1181700000,1181700000,None,None,None,None,-1100000,None,51000000,-23100000,2023-12-20,1.25,1.16,0.09,7.7586,pre-market
6,2018-05-31,USD,5435600000,15740400000,10304800000,10304800000,2419900000,2176700000,219100000,3015700000,None,-373700000,11700000,385400000,None,84700000,None,618800000,2135600000,57300000,None,2078300000,None,2521000000,3139800000,2131000000,2841000000,None,None,None,None,618800000,622700000,None,15600000,None,-8685400000,5445500000,None,None,None,None,1139700000,1139700000,None,None,None,None,-601600000,None,-367100000,31800000,2023-09-20,1.09,1.08,0.01,0.9259,pre-market
7,2017-05-31,USD,5567800000,15619800000,10052000000,10052000000,2492100000,2888800000,218200000,3075700000,None,-295100000,7000000,302100000,None,85000000,None,603600000,2271300000,655200000,None,1616100000,None,2573400000,3177000000,1657500000,2313300000,None,None,None,None,603600000,684400000,None,-61500000,None,-646900000,-1645500000,None,None,None,None,1135100000,1135100000,None,None,None,None,-1651500000,None,2400000,-18500000,2023-06-28,1.12,1.07,0.05,4.6729,pre-market
8,2016-05-31,USD,5829500000,16563100000,10733600000,10733600000,2707400000,3114800000,222100000,3122100000,None,-303800000,8100000,311900000,None,88400000,None,608100000,2403600000,755200000,None,1648400000,None,2715500000,3323600000,1697400000,2629800000,None,None,None,None,608100000,729300000,None,-146100000,None,93400000,-2285600000,None,None,None,None,1071700000,1071700000,None,None,None,None,-606700000,None,429500000,-8100000,2023-03-23,0.97,0.93,0.04,4.3011,pre-market
9,2015-05-31,USD,5949200000,17630300000,11681100000,11681100000,2077300000,3328000000,229400000,3871900000,None,None,None,328600000,None,84300000,None,588300000,1761900000,586800000,None,1175100000,None,2090500000,2678800000,1221300000,2542800000,None,None,None,None,588300000,712400000,None,-24200000,None,-1602200000,-1384800000,None,None,None,None,1017700000,1017700000,None,None,None,None,-1161900000,None,-533100000,-88900000,2022-12-20,1.1,1.07,0.03,2.8037,pre-market
