,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-07-31,USD,1111576000,3470762000,2359186000,2359186000,45119000,207062000,None,1066457000,None,-20933000,None,20933000,None,None,None,111746000,24186000,-16744000,None,40930000,None,45119000,156865000,40930000,168980000,None,None,None,None,124481000,128295000,None,8406000,None,None,-57765000,None,None,None,None,116082000,116082000,None,None,None,None,-1608000,None,None,None,2025-03-04,1.38,1.07,0.31,28.972,pre-market
1,2023-07-31,USD,1106522000,3442808000,2336286000,2336286000,120617000,174091000,None,971906000,None,-17006000,None,17006000,None,None,None,164252000,103611000,4561000,None,99050000,None,74849000,239101000,99050000,250457000,None,None,None,None,117220000,125387000,None,23885000,None,-124319000,-146096000,None,None,None,None,116075000,116075000,None,None,None,None,-17449000,None,None,None,2024-12-04,0.45,0.45,0,0,pre-market
2,2022-07-31,USD,1068825000,3267786000,2198961000,2198961000,153003000,157433000,None,915822000,None,-9620000,None,9620000,None,None,None,162066000,143383000,11503000,None,131880000,None,-9063000,153003000,131880000,205253000,None,None,None,None,116303000,97104000,None,-74929000,None,-98499000,-206242000,None,None,None,None,114829000,114829000,None,None,None,None,-131542000,None,None,None,2024-09-17,0.98,1.14,-0.16,-14.0351,pre-market
3,2021-07-31,USD,973063000,2821444000,1848381000,1848381000,148937000,147825000,None,824126000,None,-56108000,None,56108000,None,None,None,164421000,310551000,56038000,None,254513000,None,202238000,366659000,254513000,301903000,None,None,None,None,121339000,70130000,None,771000,None,78330000,-672636000,None,None,None,None,31667000,31667000,None,None,None,None,-35000000,None,None,None,2024-05-30,0.88,0.72,0.16,22.2222,pre-market
4,2020-07-31,USD,817861000,2522792000,1704931000,1704931000,56153000,146975000,None,761708000,None,-22327000,None,22327000,None,None,None,181620000,81284000,-28683000,None,-32475000,None,102446000,284066000,109967000,161002000,None,None,None,None,118178000,296008000,None,16094000,None,-157226000,396336000,None,None,None,None,94544000,94544000,None,None,None,None,-55007000,None,None,None,2024-02-27,1.37,1.37,0,0,pre-market
5,2019-07-31,USD,1062123000,3071951000,2009828000,2009828000,282844000,152826000,None,779279000,None,-16488000,None,16488000,None,None,None,107537000,266356000,42955000,None,223401000,None,282844000,390381000,223401000,362796000,None,None,None,None,107537000,137540000,-3261000,1295000,None,-241574000,-198994000,None,None,None,None,193475000,193475000,None,None,None,None,-2497000,None,-77772000,None,2023-11-30,0.51,0.74,-0.23,-31.0811,pre-market
6,2018-07-31,USD,1039237000,3030445000,1991208000,1991208000,293592000,143756000,0,745645000,None,-15169000,None,15169000,None,None,None,93692000,278423000,30803000,None,247620000,None,293592000,387284000,247620000,330620000,None,None,None,None,93692000,151633000,-1380000,114000,None,-151222000,-225743000,None,None,None,None,207155000,207155000,None,None,None,None,-14772000,None,-46345000,None,2023-09-13,1.79,1.62,0.17,10.4938,pre-market
7,2017-07-31,USD,1017872000,2926289000,1908417000,1908417000,313158000,141414000,0,704714000,None,-14271000,None,14271000,None,None,None,86319000,298887000,96988000,None,201899000,None,313158000,399477000,201899000,320767000,None,None,None,None,86319000,110108000,1273000,-4059000,None,-109605000,-201127000,None,None,None,None,196867000,196867000,None,None,None,None,-6896000,None,10035000,None,2023-06-06,1.21,1.35,-0.14,-10.3704,pre-market
8,2016-07-31,USD,977987000,2912351000,1934364000,1934364000,280471000,142982000,0,697516000,None,-14052000,None,14052000,None,None,None,78223000,266419000,77120000,None,189299000,None,280471000,358694000,189299000,271378000,None,None,None,None,78223000,113360000,-1339000,750000,None,-112515000,-273352000,None,None,None,None,255546000,255546000,None,None,None,None,-14653000,None,-114489000,None,2023-02-28,1.48,1.36,0.12,8.8235,pre-market
9,2015-07-31,USD,925731000,2842284000,1916553000,1916553000,254880000,147544000,0,670851000,None,None,16679000,16679000,None,None,None,72955000,238201000,74298000,None,163903000,None,254880000,327835000,163903000,334055000,None,None,None,None,72955000,90490000,4654000,12368000,None,-88614000,-99347000,None,None,None,None,95699000,95699000,None,None,None,None,-12473000,None,146094000,None,2022-12-02,0.99,1.2,-0.21,-17.5,pre-market
