,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,3017692000,11313853000,8296161000,8296161000,1916333000,697483000,None,1101359000,None,93897000,93897000,None,None,None,None,335030000,2010230000,476120000,None,1534110000,None,1985179000,2320209000,1534110000,2105076000,None,None,None,None,335030000,593603000,None,-9797000,None,None,-1073699000,None,None,None,None,None,None,None,None,None,None,-1001559000,None,None,None,2025-04-22,0.29,0.2769,0.0131,4.7309,pre-market
1,2023-12-31,USD,2586092000,9871649000,7285557000,7285557000,1557813000,633584000,None,1028279000,None,50844000,50844000,None,None,None,None,319394000,1620506000,391769000,None,1170378000,None,1633114000,1952508000,1228737000,1783477000,None,None,None,None,319394000,560731000,None,-3649000,None,None,-660652000,None,None,None,None,None,None,None,None,None,None,-592349000,None,None,None,2025-02-04,0.25,0.24,0.01,4.1667,post-market
2,2022-12-31,USD,2062119000,8634652000,6572533000,6572533000,1160403000,564191000,None,901716000,None,21128000,21128000,21128000,None,21128000,None,286826000,1181531000,282430000,None,899101000,None,1211102000,1497928000,899101000,1323179000,None,None,None,None,286826000,479164000,-14026000,-3011000,None,-830032000,-929404000,None,None,None,None,None,None,None,None,None,None,-830140000,None,-436257000,None,2024-10-29,0.27,0.25,0.02,8,post-market
3,2021-12-31,USD,1707009000,7547061000,5840052000,5840052000,804943000,606854000,None,902066000,None,7820000,7820000,30762000,None,7820000,None,254657000,812763000,159779000,None,652984000,None,845498000,1100155000,652984000,1282081000,None,None,None,None,254657000,442475000,-1687000,-6392000,None,-522042000,-548606000,None,None,None,None,None,None,None,None,None,None,-466462000,None,211433000,None,2024-07-24,0.34,0.32,0.02,6.25,post-market
4,2020-12-31,USD,1041081000,5984634000,4943553000,4943553000,290164000,466291000,None,720340000,None,3617000,3617000,57537000,None,3617000,None,423072000,293781000,-61985000,None,231796000,None,151718000,574790000,355766000,663847000,None,None,None,None,423072000,373352000,3010000,-394000,None,-432717000,-104851000,None,None,None,None,None,None,None,None,None,None,-54401000,None,126279000,None,2024-04-24,0.2674,0.2336,0.0338,14.4692,post-market
5,2019-12-31,USD,1142490000,5586369000,4443879000,4443879000,443958000,451552000,None,675438000,None,14327000,14327000,31861000,None,14327000,None,376730000,458285000,108127000,None,350158000,None,314208000,690938000,350158000,721632000,None,None,None,None,376730000,333912000,-2630000,-4530000,None,-291974000,-201735000,None,None,None,None,None,None,None,None,None,None,-190617000,None,227923000,None,2024-02-06,0.2072,0.195,0.0122,6.2564,pre-market
6,2018-12-31,USD,910992000,4864985000,3953993000,3953993000,258368000,375460000,0,585985000,None,10068000,10068000,0,None,10068000,None,201979000,268436000,91883000,None,176553000,None,268436000,470415000,176553000,621552000,None,None,None,None,201979000,287390000,-8298000,-1722000,None,-387578000,-166535000,None,None,None,None,None,None,None,None,None,None,-160937000,None,67439000,None,2023-10-26,0.2272,0.211,0.0162,7.6777,post-market
7,2017-12-31,USD,756216000,4476412000,3720196000,3720196000,270794000,296388000,0,472077000,None,4949000,4949000,1520000,None,4949000,None,163348000,275743000,99490000,None,176253000,None,275743000,439091000,176253000,467105000,None,None,None,None,163348000,216777000,-140000,-5250000,None,-86578000,-285894000,None,None,None,None,0,0,None,None,None,None,-285218000,None,96689000,2056000,2023-07-26,0.253,0.2462,0.0068,2.762,post-market
8,2016-12-31,USD,498214000,3904384000,3406170000,3406170000,34567000,276240000,0,439770000,None,4172000,4172000,4172000,None,4172000,None,146368000,38739000,15801000,None,22938000,None,38739000,185107000,22938000,349242000,None,None,None,None,146368000,258842000,-1923000,-91000,None,326806000,-836283000,None,None,None,None,0,0,None,None,None,None,-837655000,None,-160125000,110000,2023-04-25,0.21,0.1784,0.0316,17.713,post-market
9,2015-12-31,USD,1174287000,4501223000,3326936000,3326936000,763589000,250214000,0,397504000,None,None,6278000,6278000,None,6278000,None,130368000,769867000,294265000,None,475602000,None,769867000,900235000,475602000,683316000,None,None,None,None,130368000,257418000,-3504000,262000,None,-464140000,-386440000,None,None,None,None,0,0,None,None,None,None,-460675000,None,-171460000,-4196000,2023-02-07,0.1658,0.178,-0.0122,-6.8539,post-market
10,2014-12-31,USD,1117756000,4108269000,2990513000,2990513000,710800000,273897000,0,399980000,None,None,None,3503000,None,3503000,None,110474000,714303000,268929000,None,445374000,None,714303000,824777000,445374000,682067000,None,None,None,None,110474000,252590000,-10966000,-2307000,None,-518844000,-66737000,None,None,None,None,0,0,None,None,None,None,-88338000,None,96262000,-224000,2022-10-25,0.1902,0.1842,0.006,3.2573,post-market
11,2013-12-31,USD,854769000,3214591000,2359822000,2359822000,532720000,203733000,0,315298000,None,None,None,1751000,None,1751000,None,96054000,534471000,207033000,None,327438000,None,534471000,630525000,327438000,528780000,None,None,None,None,96054000,199926000,-7238000,-1950000,None,-428315000,-100351000,None,None,None,None,0,0,None,None,None,None,-138903000,None,650000,536000,2022-07-26,0.186,0.1808,0.0052,2.8761,post-market
12,2012-12-31,USD,740340000,2731224000,1990884000,1990884000,455865000,183409000,0,279448000,None,None,None,1820000,None,1820000,None,84130000,457685000,179685000,None,278000000,None,457685000,541815000,278000000,419963000,None,None,None,None,84130000,197037000,-9438000,-2180000,None,-355499000,-143534000,None,None,None,None,0,0,None,None,None,None,-217092000,None,-78690000,380000,2022-04-26,0.114,0.1128,0.0012,1.0638,post-market
13,2011-12-31,USD,589227000,2269548000,1680321000,1680321000,350562000,157921000,0,232859000,None,None,None,2945000,None,-857000,None,74938000,349705000,134760000,None,214945000,None,350164000,425102000,214945000,411096000,None,None,None,None,74938000,151147000,-2970000,-1816000,None,-210218000,-24268000,None,None,None,None,0,0,None,None,None,None,-63508000,None,176405000,-205000,2022-02-08,0.1116,0.1052,0.0064,6.0837,post-market
14,2010-12-31,USD,489405000,1835922000,1346517000,1346517000,287831000,126357000,0,201574000,None,None,None,269000,None,1230000,None,68921000,289061000,110080000,None,178981000,None,289330000,358251000,178981000,289191000,None,None,None,None,68921000,113215000,-743000,-1481000,None,-189881000,-94522000,None,None,None,None,0,0,None,None,None,None,-126602000,None,5272000,484000,2021-10-21,0.1404,0.1264,0.014,11.0759,post-market
15,2009-12-31,USD,378519000,1518417000,1139898000,1139898000,203705000,107550000,None,174814000,None,None,None,405000,None,None,None,61308000,204225000,77380000,None,None,None,204630000,265938000,126845000,260673000,None,None,None,None,61308000,117198000,None,-825000,None,None,-61943000,None,None,None,None,None,None,None,None,None,None,-84089000,None,None,None,2021-07-20,0.1492,0.1304,0.0188,14.4172,post-market
16,2008-12-31,USD,286927000,1331968000,1045041000,1045041000,124039000,100779000,None,162888000,None,None,None,302000,None,None,None,52770000,127206000,49004000,None,None,None,127508000,180278000,78202000,198507000,None,None,None,None,52770000,152101000,None,-457000,None,None,-29548000,None,None,None,None,None,None,None,None,None,None,-30227000,None,None,None,2021-04-21,0.1072,0.0978,0.0094,9.6115,post-market
17,2007-12-31,USD,242569000,1085782000,843213000,843213000,108183000,75038000,None,124801000,None,None,None,296000,None,None,None,43595000,114002000,43439000,None,None,None,114298000,157893000,70563000,146923000,None,None,None,None,43595000,140545000,None,-771000,None,None,16824000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2021-02-02,0.0696,0.0746,-0.005,-6.7024,post-market
18,2006-12-31,USD,172249000,822930000,650681000,650681000,61952000,65284000,None,110297000,None,None,None,271000,None,None,None,34253000,68255000,26832000,None,None,None,61952000,96205000,41423000,103597000,None,None,None,None,34253000,97312000,None,-880000,None,None,147296000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2020-10-21,0.0752,0.0694,0.0058,8.3573,post-market
19,2005-12-31,USD,116074000,627695000,511621000,511621000,30994000,53935000,None,85080000,None,None,None,790000,None,None,None,28026000,30240000,-7456000,None,None,None,30994000,59020000,37696000,77431000,None,None,None,None,28026000,83036000,None,-369000,None,None,5666000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2020-07-22,0.008,0.007,0.001,14.2857,post-market
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-21,0.0616,0.0582,0.0034,5.8419,post-market
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-04,0.0572,0.055,0.0022,4,post-market
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-22,0.0764,0.0644,0.012,18.6335,post-market
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-23,0.0798,0.0752,0.0046,6.117,post-market
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-24,0.068,0.0602,0.0078,12.9568,post-market
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-06,0.0344,0.0274,0.007,25.5474,post-market
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-25,0.0432,0.04,0.0032,8,post-market
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-26,0.0574,0.056,0.0014,2.5,post-market
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-25,0.0426,0.0314,0.0112,35.6688,post-market
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-06,0.0268,0.0264,0.0004,1.5152,post-market
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-24,0.0138,0.0326,-0.0188,-57.6687,post-market
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-25,0.0464,0.0436,0.0028,6.422,post-market
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-25,0.032,0.0254,0.0066,25.9843,post-market
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-02,0.011,0.0114,-0.0004,-3.5088,post-market
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-10-25,0.0054,0.0316,-0.0262,-82.9114,post-market
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-21,0.0174,0.0186,-0.0012,-6.4516,post-market
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-26,-0.0176,-0.019,0.0014,7.3684,post-market
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-02,0.0434,0.037,0.0064,17.2973,post-market
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-20,0.0918,0.0924,-0.0006,-0.6494,post-market
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-21,0.089,0.0888,0.0002,0.2252,post-market
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-21,0.0776,0.0732,0.0044,6.0109,post-market
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-03,0.0768,0.0758,0.001,1.3193,post-market
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-20,0.083,0.0768,0.0062,8.0729,post-market
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-21,0.07,0.0618,0.0082,13.2686,pre-market
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-04-17,0.0528,0.0572,-0.0044,-7.6923,pre-market
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-30,0.0506,0.0506,0,0,pre-market
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-17,0.0532,0.0556,-0.0024,-4.3165,pre-market
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-18,0.0564,0.0562,0.0002,0.3559,pre-market
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-18,0.047,0.0426,0.0044,10.3286,pre-market
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-05,0.039,0.0392,-0.0002,-0.5102,pre-market
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-18,0.0454,0.046,-0.0006,-1.3043,pre-market
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-19,0.0512,0.046,0.0052,11.3043,pre-market
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-04-19,0.0394,0.0386,0.0008,2.0725,pre-market
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-01,0.0362,0.0366,-0.0004,-1.0929,pre-market
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-10-20,0.038,0.037,0.001,2.7027,pre-market
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-19,0.0328,0.0336,-0.0008,-2.381,pre-market
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-20,0.0292,0.0288,0.0004,1.3889,pre-market
