,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,5180000000,10722000000,5542000000,5542000000,-38000000,1452000000,1168000000,5218000000,None,199000000,199000000,None,None,None,None,561000000,156000000,39000000,None,117000000,None,-38000000,523000000,123000000,2132000000,None,None,None,None,561000000,104000000,None,None,None,None,-204000000,None,None,None,None,None,None,None,None,None,None,-224000000,None,None,None,2025-05-06,0.44,-0.04,0.48,1200,pre-market
1,2023-12-31,USD,4046000000,8635000000,4589000000,4589000000,-579000000,1235000000,1003000000,4625000000,None,117000000,119000000,152000000,None,None,None,509000000,-534000000,31000000,None,-1051000000,None,-577000000,-68000000,-558000000,1673000000,None,None,None,None,509000000,324000000,None,515000000,None,None,-752000000,None,None,None,None,None,None,None,None,None,None,-750000000,None,None,None,2025-02-13,0.33,0.3319,-0.0019,-0.5725,pre-market
2,2022-12-31,USD,2995000000,6583000000,3588000000,3588000000,-1032000000,1147000000,829000000,4027000000,None,30000000,32000000,2000000,None,None,None,369000000,-1399000000,-31000000,None,-1368000000,None,-1032000000,-663000000,-1368000000,367000000,None,None,None,None,369000000,346000000,None,None,None,-300000000,-375000000,None,None,None,None,None,None,None,None,None,None,-400000000,None,None,None,2024-10-30,0.38,0.22,0.16,72.7273,post-market
3,2021-12-31,USD,2550000000,4888000000,2338000000,2338000000,-452000000,797000000,430000000,3002000000,None,-11000000,3000000,14000000,None,3000000,None,156000000,-463000000,5000000,None,-468000000,None,-449000000,-293000000,-468000000,692000000,None,None,None,None,156000000,237000000,-94000000,624000000,None,-2047000000,-483000000,None,None,None,None,None,None,None,None,None,None,22000000,None,-1838000000,None,2024-08-01,-0.18,-0.09,-0.09,-100,post-market
4,2020-12-31,USD,1518000000,2886000000,1368000000,1368000000,-436000000,556000000,321000000,1954000000,None,-25000000,7000000,32000000,None,10000000,None,120000000,-458000000,3000000,None,-461000000,None,-426000000,-306000000,-461000000,252000000,None,None,None,None,120000000,159000000,-248000000,482000000,None,-192000000,3996000000,None,None,None,None,None,None,None,None,None,None,3288000000,None,4056000000,None,2024-05-01,-0.06,-0.04,-0.02,-50,post-market
5,2019-12-31,USD,362000000,885000000,523000000,523000000,-616000000,245000000,107000000,978000000,None,18000000,18000000,18000000,None,None,None,32000000,-666000000,1000000,None,-667000000,None,-666000000,-634000000,-667000000,-467000000,None,None,None,None,32000000,92000000,None,122000000,None,-570000000,1109000000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,2024-02-15,-0.39,-0.16,-0.23,-143.75,post-market
6,2018-12-31,USD,63000000,291000000,228000000,228000000,-210000000,78000000,51000000,273000000,None,6000000,7000000,1000000,None,None,None,9000000,-204000000,7000000,None,-204000000,None,-204000000,-195000000,-204000000,-159000000,None,None,None,None,9000000,16000000,None,23000000,None,-357000000,666000000,None,None,None,None,None,None,None,None,None,None,-60000000,None,None,None,2023-11-01,-0.19,-0.4,0.21,52.5,post-market
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-02,-0.44,-0.41,-0.03,-7.3171,post-market
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-04,-0.41,-0.58,0.17,29.3103,post-market
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-16,-1.65,-0.68,-0.97,-142.6471,post-market
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-03,-0.77,-0.6,-0.17,-28.3333,post-market
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-04,-0.72,-0.41,-0.31,-75.6098,post-market
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-05,-0.48,-0.41,-0.07,-17.0732,post-market
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-16,-0.45,-0.25,-0.2,-80,post-market
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-09,-0.3,-0.26,-0.04,-15.3846,post-market
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-12,-0.3,-0.2,-0.1,-50,post-market
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-13,-0.34,-0.26,-0.08,-30.7692,post-market
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-25,0.47,-0.14,0.61,435.7143,post-market
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-09,0.07,0,0.07,None,post-market
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-30,-0.9648,0,-0.9648,None,pre-market
