,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,1848502000,4706416000,2857914000,2857914000,878999000,459492000,None,969503000,None,-178848000,17022000,195870000,None,None,None,87732000,722215000,138045000,None,584170000,None,918085000,1005817000,584170000,624897000,None,None,None,None,87732000,112885000,None,6651000,None,None,-532223000,None,None,None,None,209945000,209945000,None,None,None,None,-329557000,None,None,None,2025-04-28,4.33,4.0737,0.2563,6.2916,pre-market
1,2023-12-31,USD,1727417000,4479358000,2751941000,2751941000,819519000,434554000,None,906450000,None,-187673000,9696000,196475000,None,None,None,80640000,652440000,133322000,None,520128000,None,848915000,929555000,519118000,590864000,None,None,None,None,80640000,105396000,None,160000,None,None,-476358000,None,None,None,None,169772000,169772000,None,None,None,None,-269025000,None,None,None,2025-02-24,4.89,4.8951,-0.0051,-0.1042,pre-market
2,2022-12-31,USD,1648606000,4537158000,2888552000,2888552000,767925000,416524000,None,880681000,None,-195092000,3162000,195092000,None,3162000,None,80251000,572833000,120570000,None,452263000,None,771087000,851338000,452263000,475317000,None,None,None,None,80251000,87234000,-6333000,-17059000,None,-53681000,-515949000,None,None,None,None,157531000,157531000,None,None,None,None,-293740000,None,-94313000,None,2024-10-10,4.19,3.65,0.54,14.7945,pre-market
3,2021-12-31,USD,1688242000,4357373000,2669131000,2669131000,780408000,428333000,None,907834000,None,-191461000,345000,191461000,None,345000,None,72923000,625705000,115238000,None,510467000,None,817511000,890434000,510467000,654206000,None,None,None,None,72923000,94172000,-8107000,-9420000,None,-142723000,-522833000,None,None,None,None,139399000,139399000,None,None,None,None,-1320902000,None,-11666000,-316000,2024-07-18,4.03,3.68,0.35,9.5109,pre-market
4,2020-12-31,USD,1594493000,4117411000,2522918000,2522918000,725642000,406613000,None,868851000,None,-170512000,1654000,170512000,None,1654000,None,65038000,555130000,63834000,None,491296000,None,725642000,790680000,491296000,592794000,None,None,None,None,65038000,88768000,-33334000,-24959000,None,-128927000,-446406000,None,None,None,None,121925000,121925000,None,None,None,None,-304590000,None,18222000,761000,2024-04-29,3.58,3.39,0.19,5.6047,pre-market
5,2019-12-31,USD,1402499000,3618774000,2216275000,2216275000,629407000,382293000,None,773092000,None,-146770000,4048000,146770000,None,4048000,None,59930000,482637000,81928000,None,400709000,None,633455000,693385000,400709000,496950000,None,None,None,None,59930000,85565000,-20900000,-6741000,None,-27854000,-222792000,None,None,None,None,105715000,105715000,None,None,None,None,-699007000,None,246505000,201000,2024-02-26,4.48,4.38,0.1,2.2831,pre-market
6,2018-12-31,USD,1302679000,3432867000,2130188000,2130188000,571689000,372464000,0,730990000,None,-143011000,3334000,146345000,None,3334000,None,53665000,428678000,66706000,None,361972000,None,575023000,628688000,361972000,394171000,None,None,None,None,53665000,119888000,-18172000,-12455000,None,-88257000,-322803000,None,None,None,None,92166000,92166000,None,None,None,None,-591212000,None,-17427000,-538000,2023-10-12,4.18,3.3,0.88,26.6667,pre-market
7,2017-12-31,USD,865991000,2787979000,1921988000,1921988000,521232000,344759000,0,344759000,None,-121079000,1462000,122541000,None,1462000,None,44369000,400153000,122248000,None,277905000,None,522694000,567063000,277905000,339036000,None,None,None,None,44369000,90011000,-22649000,1527000,None,-149004000,-197145000,None,None,None,None,84298000,84298000,None,None,None,None,-1064253000,None,-7047000,66000,2023-07-24,3.08,3.05,0.03,0.9836,pre-market
8,2016-12-31,USD,767691000,2472628000,1704937000,1704937000,454042000,313649000,0,313649000,None,-109384000,685000,110069000,None,685000,None,38140000,344658000,129980000,None,214678000,None,454042000,492182000,214678000,287273000,None,None,None,None,38140000,58555000,-18724000,-2947000,None,-836000,-375792000,None,None,None,None,73925000,73925000,None,None,None,None,-300250000,None,-90634000,-1279000,2023-04-27,2.93,2.73,0.2,7.326,pre-market
9,2015-12-31,USD,683131000,2216528000,1533397000,1533397000,405439000,277692000,0,277692000,None,None,99224000,99537000,None,313000,None,32434000,306215000,113426000,None,192789000,None,398852000,431286000,192789000,291786000,None,None,None,None,32434000,63282000,-13678000,-2262000,None,-109292000,-80936000,None,None,None,None,80329000,80329000,None,None,None,None,-738557000,None,102594000,1036000,2023-02-23,3.97,3.94,0.03,0.7614,pre-market
10,2014-12-31,USD,594766000,1993833000,1399067000,1399067000,345361000,249405000,0,249405000,None,None,None,86881000,None,143000,None,35788000,258623000,96036000,None,162587000,None,345504000,381292000,162587000,192339000,None,None,None,None,35788000,70093000,-12710000,-11827000,None,-57443000,-118898000,None,None,None,None,52843000,52843000,None,None,None,None,-82407000,None,16472000,474000,2022-10-13,2.79,2.97,-0.18,-6.0606,pre-market
11,2013-12-31,USD,548974000,1802223000,1253249000,1253249000,313811000,235163000,0,235163000,None,None,None,88872000,None,160000,None,25783000,225099000,82114000,None,142985000,None,313811000,339594000,142985000,193989000,None,None,None,None,25783000,40387000,-11001000,-242000,None,-99733000,-134804000,None,None,None,None,34241000,34241000,None,None,None,None,-97132000,None,-40430000,118000,2022-07-21,2.82,2.91,-0.09,-3.0928,pre-market
12,2012-12-31,USD,501338000,1678439000,1177101000,1177101000,282331000,219007000,0,219007000,None,None,None,101448000,None,304000,None,23171000,181187000,68795000,None,112392000,None,282635000,305806000,112392000,176320000,None,None,None,None,23171000,29267000,-6917000,-703000,None,7348000,-177449000,None,None,None,None,185484000,185484000,None,None,None,None,-88238000,None,4521000,-1698000,2022-04-28,2.5,3.06,-0.56,-18.3007,pre-market
13,2011-12-31,USD,470516000,1652193000,1181677000,1181677000,259145000,210887000,0,211371000,None,None,None,91635000,None,296000,None,24042000,167806000,62445000,None,105361000,None,259441000,283483000,105361000,153073000,None,None,None,None,24042000,24349000,-7713000,-4904000,None,-26941000,-123485000,None,None,None,None,33524000,33524000,None,None,None,None,-165007000,None,2347000,-300000,2022-03-01,4.25,4.28,-0.03,-0.7009,pre-market
14,2010-12-31,USD,438589000,1570894000,1132305000,1132305000,227702000,210900,None,210887000,None,None,None,96810000,None,None,None,24052000,138945000,51028000,None,None,None,235755000,259807000,87917000,128325000,None,None,None,None,24052000,25421000,None,-2357000,None,None,-104267000,None,None,None,None,12311000,12311000,None,None,None,None,-5384000,None,None,None,2021-10-14,3.24,3.11,0.13,4.1801,pre-market
15,2009-12-31,USD,386976000,1404057000,1017081000,1017081000,189509000,197500,None,197467000,None,None,None,110945000,None,None,None,24064000,135522000,55778000,None,None,None,234467000,258531000,79744000,101274000,None,None,None,None,24064000,22870000,None,-1050000,None,None,-70796000,None,None,None,None,None,None,None,None,None,None,5100000,None,None,None,2021-07-22,3.12,2.87,0.25,8.7108,pre-market
