,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-09-30,USD,462981000,1571306000,1108325000,1108325000,82536000,96519000,None,380445000,None,-80016000,2118000,82134000,None,None,None,59776000,-4323000,32372000,None,-36695000,None,78510000,138286000,-36695000,68816000,None,None,None,None,3800,115474000,None,-25000,None,None,-131185000,None,None,None,None,33972000,33972000,None,None,None,None,-70000000,None,None,None,2025-05-12,1.2,1.152,0.048,4.1667,pre-market
1,2023-09-30,USD,487853000,1692306000,1204453000,1204453000,278753000,106835000,None,209100000,None,-82446000,2181000,84627000,None,None,None,62287000,189340000,58514000,None,130826000,None,274508000,336795000,130826000,215006000,None,None,None,None,62287000,74954000,None,1367000,None,None,-207358000,None,None,None,None,35890000,35890000,None,None,None,None,-90029000,None,None,None,2025-02-19,1.92,1.6869,0.2331,13.8182,pre-market
2,2022-09-30,USD,433314000,1468083000,1034769000,1034769000,248270000,130823000,None,185044000,None,-86075000,449000,86075000,None,None,None,56100000,161892000,46111000,None,115781000,None,247967000,304067000,115781000,162882000,None,None,None,None,56100000,46475000,-18143000,304000,None,-578588000,478178000,None,None,None,None,36987000,36987000,None,None,None,None,-25000000,None,62472000,None,2024-11-20,1.16,1.11,0.05,4.5045,post-market
3,2021-09-30,USD,411595000,1143670000,732075000,732075000,289946000,81959000,None,121649000,None,-67458000,142000,67458000,None,None,None,46500000,221607000,55852000,None,165755000,None,290657000,337157000,165755000,201122000,None,None,None,None,46500000,41008000,5072000,-269000,None,-20929000,-343545000,None,None,None,None,37322000,37322000,None,None,None,None,-200000000,None,-163352000,None,2024-08-06,1.65,1.51,0.14,9.2715,post-market
4,2020-09-30,USD,354469000,1021506000,667037000,667037000,230584000,80675000,None,123885000,None,-66743000,530000,66743000,None,None,None,52798000,122121000,32727000,None,89394000,None,189099000,241897000,89764000,143525000,None,None,None,None,52798000,19528000,-28724000,41000,None,29123000,-87289000,None,None,None,None,27538000,27538000,None,None,None,None,-155576000,None,85359000,None,2024-05-14,1.46,1.42,0.04,2.8169,pre-market
5,2019-09-30,USD,344850000,950107000,605257000,605257000,202223000,76357000,None,142627000,None,-84967000,1060000,84967000,None,None,None,55181000,115772000,24025000,None,91747000,None,200739000,255920000,94437000,168405000,None,None,None,None,55181000,47649000,None,82000,None,-13819000,-5730000,None,None,None,None,41179000,41179000,None,None,None,None,-140537000,None,None,None,2024-02-21,1.95,1.96,-0.01,-0.5102,post-market
6,2018-09-30,USD,369939000,869690000,499751000,499751000,233447000,104816000,0,136492000,None,-45547000,978000,45547000,None,None,None,59422000,186067000,81728000,None,104339000,None,232744000,292166000,121371000,108878000,None,None,None,None,59422000,32345000,24220000,1587000,None,65661000,-445607000,None,None,None,None,45412000,45412000,None,None,None,None,-325634000,None,-275807000,6000,2023-11-21,1.09,1.15,-0.06,-5.2174,post-market
7,2017-09-30,USD,405226000,1097291000,692065000,692065000,245413000,117280000,0,159813000,None,-46518000,83000,38148000,None,None,None,67398000,203905000,75332000,None,138308000,None,242964000,310362000,135332000,171837000,None,None,None,None,88939000,67453000,-5774000,1771000,None,33339000,-214542000,None,None,None,None,48925000,48925000,None,None,None,None,-334361000,None,-9388000,-22000,2023-08-09,1.45,1.34,0.11,8.209,pre-market
8,2016-09-30,USD,425125000,1162258000,737133000,737133000,191493000,152147000,0,233632000,None,-31081000,345000,24603000,None,None,None,72786000,167213000,60740000,None,126270000,None,193359000,266145000,124073000,134182000,None,None,None,None,92844000,96615000,-28181000,-713000,None,-104398000,-30454000,None,None,None,None,40295000,40295000,None,None,None,None,-284645000,None,-713000,-43000,2023-05-17,1.47,1.22,0.25,20.4918,pre-market
9,2015-09-30,USD,433214000,1540317000,1107103000,1107103000,197173000,637270000,0,236041000,None,None,18803000,19180000,None,None,None,89468000,178370000,65769000,None,112601000,None,197550000,287018000,108812000,226875000,None,None,None,None,89468000,86226000,-82000,105000,None,-84473000,-135208000,None,None,None,None,37390000,37390000,None,None,None,None,-320163000,None,7165000,-29000,2023-03-01,2.01,1.75,0.26,14.8571,pre-market
10,2014-09-30,USD,387552000,1484131000,1096579000,1096579000,162308000,454600000,0,225244000,None,None,None,16531000,None,None,None,91384000,146630000,51786000,None,94844000,None,163161000,254545000,88950000,201022000,None,None,None,None,91384000,60525000,19589000,-300000,None,-42979000,-157116000,None,None,None,None,15808000,15808000,None,None,None,None,-323866000,None,934000,7000,2022-11-22,1.33,1.36,-0.03,-2.2059,pre-market
11,2013-09-30,USD,367645000,1489867000,1122222000,1122222000,138205000,476200000,0,229440000,None,None,None,16471000,None,None,None,96219000,122954000,40346000,None,82608000,None,139425000,235644000,51152000,198872000,None,None,None,None,96219000,84690000,33994000,27415000,None,-33939000,-163762000,None,None,None,None,806322000,806322000,None,None,None,None,-132833000,None,1175000,4000,2022-08-10,1.38,1.42,-0.04,-2.8169,pre-market
12,2012-09-30,USD,349332000,1509295000,1159963000,1159963000,120816000,227003000,0,228516000,None,None,None,20953000,None,None,None,97958000,101942000,33838000,None,62972000,None,122895000,220853000,57651000,136730000,None,None,None,None,97958000,80200000,3497000,4334000,None,-81516000,-58169000,None,None,None,None,576380000,576380000,None,None,None,None,-30013000,None,-2955000,None,2022-05-26,1.16,1.38,-0.22,-15.942,pre-market
13,2011-09-30,USD,325569000,1632825000,1307256000,1307256000,151198000,554200000,0,174371000,None,None,None,18165000,None,None,None,96147000,134343000,48465000,None,80600000,None,152508000,248655000,80600000,124260000,None,None,None,None,96147000,129312000,-26116000,-1540000,None,-35802000,-87641000,None,None,None,None,718387000,718387000,None,None,None,None,-193099000,None,817000,None,2022-02-23,1.97,1.91,0.06,3.1414,pre-market
14,2010-09-30,USD,359162000,2297531000,1938369000,1938369000,115809000,641400000,0,243353000,None,None,None,17011000,None,None,None,101514000,106016000,35806000,None,70210000,None,123027000,224541000,70210000,61866000,None,None,None,None,101514000,95610000,-8174000,284000,None,19173000,-123434000,None,None,None,None,915727000,915727000,None,None,None,None,-97000000,None,-42395000,None,2021-11-23,1.75,1.75,0,0,pre-market
15,2009-09-30,USD,435302000,2471096000,2035794000,2035794000,253282000,711200000,None,182020000,None,None,None,22155000,None,None,None,100830000,210501000,79455000,None,None,None,232656000,333486000,118408000,148750000,None,None,None,None,100830000,153500000,None,7596000,None,None,-102673000,None,None,None,None,None,None,None,None,None,None,4600000,None,None,None,2021-08-04,1.78,1.49,0.29,19.4631,post-market
16,2008-09-30,USD,437094000,2539561000,2102467000,2102467000,215888000,726000000,None,221206000,None,None,None,28070000,None,None,None,102427000,188460000,70251000,None,None,None,215888000,318315000,119279000,172384000,None,None,None,None,102427000,180569000,None,-4791000,None,None,-5832000,None,None,None,None,None,None,None,None,None,None,-100000000,None,None,None,2021-05-12,1.48,1.29,0.19,14.7287,post-market
17,2007-09-30,USD,470650000,2513431000,2042781000,2042781000,216996000,293881000,None,253654000,None,None,None,23354000,None,None,None,95749000,193661000,68982000,None,None,None,216996000,312745000,125583000,179809000,None,None,None,None,95749000,154182000,None,-5731000,None,None,-266672000,None,None,None,None,None,None,None,None,None,None,-463402000,None,None,None,2021-02-17,2.16,1.77,0.39,22.0339,post-market
18,2006-09-30,USD,435297000,2381244000,1945947000,1945947000,177325000,300800000,None,257972000,None,None,None,12075000,None,None,None,89427000,165269000,58845000,None,None,None,177325000,266752000,107067000,205840000,None,None,None,None,89427000,150032000,None,-1195000,None,None,-11114000,None,None,None,None,None,None,None,None,None,None,-49997000,None,None,None,2020-11-18,1.61,1.14,0.47,41.2281,post-market
19,2005-09-30,USD,402093000,2480214000,2078121000,2078121000,151606000,273800000,None,250487000,None,None,None,17092000,None,None,None,87138000,138204000,46667000,None,None,None,151606000,238744000,91537000,154206000,None,None,None,None,88534000,123109000,None,-5964000,None,None,-71360000,None,None,None,None,None,None,None,None,None,None,-92861000,None,None,None,2020-08-05,1.37,1.03,0.34,33.0097,post-market
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-13,0.5,0.66,-0.16,-24.2424,post-market
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-19,1.17,1.38,-0.21,-15.2174,post-market
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-20,0.95,0.96,-0.01,-1.0417,post-market
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-07,1.07,1,0.07,7,post-market
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-15,0.99,0.93,0.06,6.4516,post-market
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-20,1.35,1.28,0.07,5.4688,post-market
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-19,0.77,0.85,-0.08,-9.4118,post-market
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-08,1,0.88,0.12,13.6364,post-market
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-16,0.8,0.86,-0.06,-6.9767,post-market
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-21,1.23,1.06,0.17,16.0377,post-market
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-29,0.73,0.89,-0.16,-17.9775,post-market
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,0.99,1.05,-0.06,-5.7143,post-market
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-16,0.98,0.91,0.07,7.6923,post-market
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-22,1.18,1.24,-0.06,-4.8387,post-market
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-21,1.03,0.88,0.15,17.0455,post-market
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-03,1.07,0.87,0.2,22.9885,post-market
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-11,0.85,0.7,0.15,21.4286,post-market
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-17,0.93,1.03,-0.1,-9.7087,post-market
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-17,0.62,0.65,-0.03,-4.6154,post-market
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-05,0.76,0.73,0.03,4.1096,post-market
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-13,0.69,0.67,0.02,2.9851,post-market
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-17,0.93,0.87,0.06,6.8966,post-market
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-18,0.54,0.53,0.01,1.8868,post-market
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-06,0.65,0.57,0.08,14.0351,pre-market
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-14,0.51,0.52,-0.01,-1.9231,pre-market
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-19,0.75,0.66,0.09,13.6364,pre-market
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-20,0.45,0.39,0.06,15.3846,pre-market
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-07,0.41,0.38,0.03,7.8947,pre-market
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-15,0.33,0.31,0.02,6.4516,pre-market
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-20,0.54,0.39,0.15,38.4615,pre-market
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-19,0.43,0.37,0.06,16.2162,pre-market
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-08,0.26,0.35,-0.09,-25.7143,pre-market
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-16,0.48,0.32,0.16,50,pre-market
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-22,0.27,0.25,0.02,8,pre-market
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-21,0.49,0.4,0.09,22.5,pre-market
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-08-10,0.38,0.4,-0.02,-5,pre-market
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-05-18,0.13,0.2,-0.07,-35,pre-market
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-23,0.61,0.46,0.15,32.6087,pre-market
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-22,0.4,0.36,0.04,11.1111,pre-market
