,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,8968000000,25846000000,16878000000,16878000000,1683000000,3486000000,None,7285000000,None,-843000000,69000000,912000000,None,None,None,948000000,856000000,-1890000000,None,2746000000,None,1768000000,2716000000,2744000000,4184000000,None,None,None,None,948000000,1024000000,None,-6000000,None,None,-3008000000,None,None,None,None,1931000000,1931000000,None,None,None,None,-988000000,None,None,None,2025-04-29,0.62,0.6014,0.0186,3.0928,pre-market
1,2023-12-31,USD,8926000000,26640000000,17714000000,17714000000,4572000000,3745000000,147000000,4354000000,None,-872000000,40000000,912000000,None,None,None,961000000,3633000000,787000000,None,2846000000,None,4545000000,5506000000,2855000000,3976000000,None,None,None,None,961000000,1013000000,None,-106000000,None,None,-2678000000,None,None,None,None,1965000000,1965000000,None,None,None,None,-455000000,None,None,None,2025-02-12,0.84,0.779,0.061,7.8306,pre-market
2,2022-12-31,USD,8122000000,26485000000,18363000000,18363000000,3634000000,3426000000,127000000,4488000000,None,-921000000,27000000,921000000,None,253000000,None,933000000,2966000000,598000000,None,2368000000,None,3887000000,4820000000,2363000000,2469000000,None,None,None,None,933000000,916000000,-228000000,-1121000000,None,-1091000000,-3714000000,None,None,None,None,1960000000,1960000000,None,None,None,None,-280000000,None,-2336000000,None,2024-10-30,0.75,0.74,0.01,1.3514,pre-market
3,2021-12-31,USD,8682000000,26042000000,17360000000,17360000000,3460000000,3367000000,140000000,5222000000,None,-2032000000,15000000,2047000000,None,295000000,None,910000000,1708000000,684000000,None,1024000000,None,3755000000,4665000000,1012000000,5364000000,None,None,None,None,910000000,905000000,87000000,-144000000,None,4038000000,-9344000000,None,None,None,None,1959000000,1959000000,None,None,None,None,-271000000,None,58000000,None,2024-07-31,0.78,0.74,0.04,5.4054,pre-market
4,2020-12-31,USD,9177000000,26185000000,17008000000,17008000000,2128000000,3327000000,119000000,7049000000,None,-1394000000,27000000,1394000000,None,296000000,None,969000000,1030000000,669000000,None,361000000,None,2424000000,3393000000,356000000,4929000000,None,None,None,None,969000000,596000000,-26000000,-266000000,None,-522000000,-3331000000,None,None,None,None,1958000000,1958000000,None,None,None,None,None,None,1076000000,None,2024-05-01,0.69,0.69,0,0,pre-market
5,2019-12-31,USD,8147000000,24977000000,16830000000,16830000000,3070000000,2700000000,112000000,5077000000,None,-1361000000,None,1361000000,None,952000000,None,994000000,2661000000,728000000,None,3389000000,None,4022000000,5016000000,1935000000,3552000000,None,None,None,None,994000000,768000000,140000000,-277000000,None,1511000000,-3913000000,None,None,None,None,1953000000,1953000000,None,None,None,None,None,None,1150000000,None,2024-02-14,0.78,0.77,0.01,1.2987,pre-market
6,2018-12-31,USD,8921000000,26268000000,17347000000,17347000000,-10205000000,2839000000,109000000,19126000000,None,-1284000000,None,1284000000,None,183000000,None,983000000,-11321000000,-1067000000,None,-12388000000,None,-10037000000,-9054000000,-10192000000,2574000000,None,None,None,None,983000000,826000000,-2280000000,-251000000,None,288000000,-3363000000,None,None,None,None,3183000000,3183000000,None,None,None,None,0,None,-501000000,None,2023-11-01,0.72,0.66,0.06,9.0909,pre-market
7,2017-12-31,USD,9033000000,26076000000,17043000000,17043000000,6057000000,2927000000,93000000,2976000000,None,-1234000000,None,1234000000,None,-9000000,None,1031000000,5450000000,-5482000000,None,70000000,None,6684000000,7715000000,10941000000,527000000,None,None,None,None,1036000000,1217000000,-2629000000,-251000000,None,1156000000,-4226000000,None,None,None,None,2888000000,2888000000,None,None,None,None,0,None,-2543000000,None,2023-08-02,0.79,0.76,0.03,3.9474,pre-market
8,2016-12-31,USD,9146000000,26300000000,17154000000,17154000000,5601000000,3527000000,120000000,3545000000,None,-1134000000,1162000000,1134000000,None,15000000,None,1337000000,4939000000,1333000000,None,6404000000,None,6073000000,7410000000,3596000000,5238000000,None,None,None,None,1337000000,1247000000,80000000,-130000000,None,-1113000000,-4621000000,None,None,None,None,3764000000,3764000000,None,None,None,None,-8320000000,None,-633000000,-137000000,2023-05-03,0.68,0.6,0.08,13.3333,pre-market
9,2015-12-31,USD,5761000000,18338000000,12577000000,12577000000,2639000000,3122000000,105000000,3122000000,None,None,1169000000,1321000000,None,-305000000,None,740000000,1013000000,366000000,None,647000000,None,2334000000,3074000000,634000000,2467000000,None,None,None,None,740000000,648000000,838000000,25000000,None,-9704000000,10183000000,None,None,None,None,2202000000,2202000000,None,None,None,None,10000000000,None,2539000000,-407000000,2023-02-15,0.85,0.78,0.07,8.9744,pre-market
