,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,28737000000,47061000000,18324000000,18324000000,9992000000,286000000,None,18745000000,None,-668000000,988000000,1656000000,None,None,None,1075000000,13086000000,2437000000,None,10649000000,None,14739000000,15814000000,10631000000,6805000000,None,None,None,None,1075000000,2064000000,None,-520000000,None,None,-6910000000,None,None,None,None,8359000000,8359000000,None,None,None,None,-1795000000,None,None,None,2025-04-29,0.73,0.7161,0.0139,1.9411,pre-market
1,2023-12-31,USD,27234000000,45754000000,18520000000,18520000000,11311000000,254000000,None,15928000000,None,-635000000,907000000,1527000000,None,None,None,1128000000,12952000000,2249000000,None,10703000000,None,14493000000,15621000000,10714000000,11599000000,None,None,None,None,1128000000,1852000000,None,-597000000,None,None,-8310000000,None,None,None,None,7952000000,7952000000,None,None,None,None,-2289000000,None,None,None,2025-02-05,0.55,0.52,0.03,5.7692,pre-market
2,2022-12-31,USD,25004000000,43004000000,18000000000,18000000000,10909000000,356000000,None,14095000000,None,-433000000,1039000000,882000000,None,1659000000,None,1260000000,11686000000,2115000000,None,9571000000,None,12547000000,13807000000,9542000000,11018000000,None,None,None,None,1260000000,1484000000,None,-960000000,None,-763000000,-10250000000,None,None,None,None,7616000000,7616000000,None,None,None,None,-1418000000,None,5000000,None,2024-10-23,0.77,0.74,0.03,4.0541,pre-market
3,2021-12-31,USD,23298000000,38655000000,15357000000,15357000000,10308000000,337000000,None,12990000000,None,-1321000000,276000000,1597000000,None,3714000000,None,1452000000,12425000000,2621000000,None,9804000000,None,13085000000,14537000000,9771000000,12625000000,None,None,None,None,1452000000,1367000000,None,-135000000,None,-2765000000,-6786000000,None,None,None,None,7252000000,7252000000,None,None,None,None,-111000000,None,2915000000,-159000000,2024-07-23,0.84,0.81,0.03,3.7037,pre-market
4,2020-12-31,USD,19581000000,33014000000,13433000000,13433000000,8997000000,126000000,None,10584000000,None,-1067000000,89000000,1437000000,None,2189000000,None,1536000000,9749000000,1981000000,None,7768000000,None,11123000000,12659000000,7747000000,9844000000,None,None,None,None,1536000000,1177000000,None,99000000,None,-1477000000,-8070000000,None,None,None,None,7047000000,7047000000,None,None,None,None,-118000000,None,373000000,76000000,2024-04-30,0.72,0.7,0.02,2.8571,pre-market
5,2019-12-31,USD,22647000000,37266000000,14619000000,14619000000,10086000000,201000000,None,12561000000,None,-383000000,563000000,946000000,None,1646000000,None,1365000000,10786000000,1801000000,None,8985000000,None,11680000000,13045000000,8920000000,10471000000,None,None,None,None,1365000000,2054000000,None,-183000000,None,-3976000000,-9004000000,None,None,None,None,6845000000,6845000000,None,None,None,None,-1103000000,None,-2581000000,-72000000,2024-02-13,0.49,0.49,0,0,pre-market
6,2018-12-31,USD,21233000000,34300000000,13067000000,13067000000,9152000000,225000000,0,12081000000,None,-237000000,682000000,950000000,None,569000000,None,1086000000,8225000000,1749000000,None,6727000000,None,9140000000,10226000000,6434000000,7627000000,None,None,None,None,1086000000,1548000000,None,-203000000,None,6348000000,-10347000000,None,None,None,None,6644000000,6644000000,None,None,None,None,-1912000000,None,2854000000,-262000000,2023-10-24,0.74,0.69,0.05,7.2464,pre-market
7,2017-12-31,USD,22154000000,35410000000,13256000000,13256000000,7501000000,219000000,0,14653000000,None,-164000000,677000000,841000000,None,82000000,None,1260000000,6742000000,5560000000,None,1182000000,None,7495000000,8755000000,1248000000,7106000000,None,None,None,None,1260000000,1675000000,None,-355000000,None,-2385000000,-7447000000,None,None,None,None,6320000000,6320000000,None,None,None,None,-3682000000,None,-2549000000,242000000,2023-07-26,0.78,0.72,0.06,8.3333,pre-market
8,2016-12-31,USD,25398000000,41863000000,16465000000,16465000000,8626000000,258000000,0,16772000000,None,-91000000,642000000,733000000,None,243000000,None,1787000000,8136000000,1586000000,None,6550000000,None,8820000000,10607000000,6527000000,8796000000,None,None,None,None,1787000000,2262000000,None,-142000000,None,-999000000,-6545000000,None,None,None,None,6043000000,6043000000,None,None,None,None,-3681000000,None,1246000000,-6000000,2023-04-24,0.68,0.65,0.03,4.6154,pre-market
9,2015-12-31,USD,26812000000,44294000000,17482000000,17482000000,8728000000,236000000,0,18084000000,None,None,2031000000,856000000,None,1733000000,None,1970000000,9605000000,2239000000,None,7366000000,None,10447000000,12417000000,7351000000,10528000000,None,None,None,None,1970000000,2553000000,None,-250000000,None,-6186000000,-5113000000,None,None,None,None,5741000000,5741000000,None,None,None,None,-3564000000,None,-1649000000,-878000000,2023-02-14,0.45,0.45,0,0,pre-market
10,2014-12-31,USD,28109000000,45998000000,17889000000,17889000000,9708000000,209000000,0,18401000000,None,None,None,483000000,None,100000000,None,1976000000,9325000000,2201000000,None,7124000000,None,9837000000,11813000000,7098000000,10615000000,None,None,None,None,1976000000,2406000000,None,35000000,None,-7506000000,-3631000000,None,None,None,None,5350000000,5350000000,None,None,None,None,-4162000000,None,-1456000000,-934000000,2022-10-25,0.69,0.64,0.05,7.8125,pre-market
11,2013-12-31,USD,28433000000,46854000000,18421000000,18421000000,10228000000,227000000,0,18205000000,None,None,None,463000000,None,1712000000,None,1977000000,11477000000,2851000000,None,8626000000,None,11916000000,13893000000,8584000000,10542000000,None,None,None,None,1977000000,2550000000,None,-105000000,None,-4214000000,-3745000000,None,None,None,None,4969000000,4969000000,None,None,None,None,-4832000000,None,1972000000,-611000000,2022-07-26,0.7,0.67,0.03,4.4776,pre-market
12,2012-12-31,USD,28964000000,48017000000,19053000000,19053000000,10779000000,259000000,0,18185000000,None,None,None,397000000,None,1427000000,None,1982000000,11809000000,2723000000,None,9086000000,None,12241000000,14223000000,9019000000,10645000000,None,None,None,None,1982000000,2780000000,None,-286000000,None,-11404000000,-3347000000,None,None,None,None,4595000000,4595000000,None,None,None,None,-4559000000,None,-4361000000,-255000000,2022-04-25,0.64,0.58,0.06,10.3448,pre-market
13,2011-12-31,USD,28326000000,46542000000,18216000000,18216000000,10154000000,17440000000,0,18172000000,None,None,None,417000000,None,1702000000,None,1954000000,11439000000,2805000000,None,8634000000,None,11872000000,13826000000,8572000000,9474000000,None,None,None,None,1954000000,2920000000,None,-447000000,None,-2524000000,-2234000000,None,None,None,None,4300000000,4300000000,None,None,None,None,-4513000000,None,4286000000,-430000000,2022-02-10,0.45,0.41,0.04,9.7561,pre-market
