,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,87800000,473008000,385208000,385208000,41168000,46270000,None,62349000,None,-5899000,None,5899000,None,None,None,15717000,35289000,9605000,None,25684000,None,41188000,56905000,25684000,46781000,None,None,None,None,15717000,19081000,None,-27000,None,None,-32645000,None,None,None,None,0,0,None,None,None,None,-20554000,None,None,None,2025-04-30,0.19,0.188,0.002,1.0638,post-market
1,2023-12-31,USD,93368000,468664000,375296000,375296000,39792000,42025000,None,53576000,None,-4082000,None,4811000,None,None,None,15235000,34878000,9324000,None,27739000,None,39859000,55094000,25554000,40688000,None,None,None,None,15235000,21332000,None,531000,None,None,-40446000,None,None,None,None,35684000,35684000,None,None,None,None,-59216000,None,None,None,2025-03-05,0.2,0.135,0.065,48.1481,pre-market
2,2022-12-31,USD,83700000,469959000,386259000,386259000,30120000,39093000,None,53511000,None,-1677000,None,1677000,None,None,None,14418000,28879000,8078000,None,20801000,None,30091000,44509000,20801000,38549000,None,None,None,None,14418000,19917000,3323000,-125000,None,-18915000,-29187000,None,None,None,None,55574000,55574000,None,None,None,None,1713000,None,-9553000,None,2024-10-31,0.21,0.17,0.04,23.5294,post-market
3,2021-12-31,USD,99273000,454363000,355090000,355090000,41335000,39852000,None,55028000,None,-1824000,None,1824000,None,None,None,15176000,39453000,10332000,None,29121000,None,44740000,59916000,29121000,52099000,None,None,None,None,15176000,17041000,-3444000,-218000,None,-12485000,-22787000,None,None,None,None,161000,161000,None,None,None,None,-705000,None,16827000,None,2024-08-01,0.26,0.21,0.05,23.8095,post-market
4,2020-12-31,USD,93675000,426087000,332412000,332412000,48202000,35918000,None,52796000,None,-3292000,None,3292000,None,None,None,16878000,30125000,5651000,None,24474000,None,39360000,56238000,24474000,40547000,None,None,None,None,16878000,6690000,-1155000,-92000,None,-6690000,-28708000,None,None,None,None,5531000,5531000,None,None,None,None,-335000,None,5149000,None,2024-05-02,0.22,0.14,0.08,57.1429,post-market
5,2019-12-31,USD,96746000,442330000,345584000,345584000,38326000,40389000,None,58244000,None,-3687000,None,3687000,None,None,None,17855000,34582000,9682000,None,24900000,None,41683000,59538000,24900000,36135000,None,None,None,None,17855000,15439000,1094000,338000,None,-10669000,-24365000,None,None,None,None,1450000,1450000,None,None,None,None,-48382000,None,1101000,None,2024-03-07,0.16,0.16,0,0,post-market
6,2018-12-31,USD,96455000,435828000,339373000,339373000,-9461000,50261000,0,68086000,None,-3502000,12000,3502000,None,None,None,17825000,-12202000,-3208000,None,-8994000,None,-8688000,9137000,-8994000,45442000,None,None,None,None,17825000,27802000,-2387000,-190000,None,-27802000,-19221000,None,None,None,None,13307000,13307000,None,None,None,None,-981000,None,-1581000,None,2023-11-02,0.19,0.19,0,0,post-market
7,2017-12-31,USD,96253000,401701000,305448000,305448000,6824000,38523000,0,56651000,None,-3278000,25000,3278000,None,None,None,18128000,9116000,497000,None,8619000,None,12419000,30547000,8619000,53671000,None,None,None,None,18128000,36238000,-294000,-177000,None,-36238000,-11051000,None,None,None,None,0,0,None,None,None,None,93000,None,6382000,None,2023-08-03,0.23,0.21,0.02,9.5238,post-market
8,2016-12-31,USD,93850000,380123000,286273000,286273000,34629000,34661000,0,50714000,None,-3155000,28000,3155000,None,None,None,16053000,31122000,12783000,None,18339000,None,34305000,50358000,18339000,49299000,None,None,None,None,16053000,37410000,-844000,-221000,None,-35202000,-18030000,None,None,None,None,0,0,None,None,None,None,978000,None,-3933000,None,2023-05-04,0.14,0.11,0.03,27.2727,post-market
9,2015-12-31,USD,91476000,355057000,263581000,263581000,48824000,28997000,0,42089000,None,None,3707000,3756000,None,None,None,13092000,44911000,20857000,None,24054000,None,48823000,61915000,24054000,57971000,None,None,None,None,13092000,30835000,-427000,1000,None,-30835000,-32534000,None,None,None,None,0,0,None,None,None,None,4254000,None,-5398000,None,2023-03-09,0.16,0.14,0.02,14.2857,post-market
10,2014-12-31,USD,89362000,344861000,255499000,255499000,49284000,29519000,0,41057000,None,None,None,18125000,None,-7060000,None,11538000,-20545000,-63008000,None,42463000,None,-2193000,9345000,42463000,26085000,None,None,None,None,11538000,26836000,147000,-245000,None,-21401000,-10200000,None,None,None,None,0,0,None,None,None,None,114370000,None,-5516000,None,2022-11-03,0.14,0.12,0.02,16.6667,post-market
11,2013-12-31,USD,78478000,314727000,236249000,236249000,42392000,25506000,None,35719000,None,None,None,36428000,None,None,None,10213000,-15472000,1401000,None,None,None,20956000,31169000,-16873000,19700000,None,None,None,None,10213000,13822000,None,33000,None,None,-10385000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2022-08-04,0.21,0.19,0.02,10.5263,post-market
12,2012-12-31,USD,69493000,293610000,224117000,224117000,33052000,24451000,None,33981000,None,None,None,38990000,None,None,None,9530000,-5838000,2027000,None,None,None,33152000,42682000,-7865000,19409000,None,None,None,None,9530000,14993000,None,-185000,None,None,-1920000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2022-05-06,0.07,0.07,0,0,post-market
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-10,0.17,0.12,0.05,41.6667,post-market
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-04,0.27,0.22,0.05,22.7273,post-market
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05,0.29,0.26,0.03,11.5385,post-market
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-07,0.13,0.12,0.01,8.3333,post-market
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-11,0.16,0.15,0.01,6.6667,post-market
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-29,0.28,0.22,0.06,27.2727,post-market
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-30,0.2,0.05,0.15,300,post-market
