,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,14710000000,25920000000,11210000000,11210000000,11712000000,2412000000,None,2998000000,None,-1403000000,103000000,1506000000,None,None,None,2097000000,10345000000,2121000000,None,8224000000,None,11851000000,13948000000,8223000000,9447000000,None,None,None,None,2097000000,2775000000,None,71000000,None,None,-7495000000,None,None,None,None,4870000000,4870000000,None,None,None,None,-2824000000,None,None,None,2025-05-01,2.67,2.66,0.01,0.3759,pre-market
1,2023-12-31,USD,14564000000,25495000000,10931000000,10931000000,11647000000,2424600000,None,2917000000,None,-1175400000,148100000,1361000000,None,None,None,1978000000,10522000000,2053000000,None,8333200000,None,11883000000,13861000000,8469000000,9611900000,None,None,None,None,1978200000,2357400000,None,16700000,None,None,-4374100000,None,None,None,None,4532800000,4532800000,None,None,None,None,-3054300000,None,None,None,2025-02-10,2.83,2.83,0,0,pre-market
2,2022-12-31,USD,13207000000,23182000000,9975000000,9975000000,9371000000,2492200000,None,3836000000,None,-1207000000,1207000000,1207000000,None,-338600000,None,1871000000,7825000000,1648000000,None,6177400000,None,9032000000,10903000000,6177000000,7386700000,None,None,None,None,1870600000,1899200000,-264100000,5600000,None,-2678100000,-6580200000,None,None,None,None,4168200000,4168200000,None,None,None,None,-3896000000,None,-1871600000,None,2024-10-29,3.23,3.2,0.03,0.9375,pre-market
3,2021-12-31,USD,12580200000,23222900000,10642700000,10642700000,10356000000,2377800000,None,2224200000,None,-1176600000,1185800000,1185800000,None,-42300000,None,1868100000,9127900000,1582700000,None,7545200000,None,10313700000,12181800000,7545200000,9141500000,None,None,None,None,1868100000,2040000000,309900000,-62200000,None,-2165700000,-5595600000,None,None,None,None,3918600000,3918600000,None,None,None,None,-845500000,None,1260100000,-120100000,2024-07-29,2.97,3.07,-0.1,-3.2573,pre-market
4,2020-12-31,USD,9752100000,19207800000,9455700000,9455700000,7324000000,2245000000,None,2428100000,None,-1200400000,1218100000,1218100000,None,34800000,None,1751400000,6140700000,1410200000,None,4730500000,None,7358800000,9110200000,4730500000,6265200000,None,None,None,None,1751400000,1640800000,-6800000,-68600000,None,-1545800000,-2249000000,None,None,None,None,3752900000,3752900000,None,None,None,None,-907800000,None,2550600000,80200000,2024-04-30,2.7,2.72,-0.02,-0.7353,pre-market
5,2019-12-31,USD,11179400000,21364400000,10185000000,10185000000,9069800000,2229400000,None,2109600000,None,-1084900000,37000000,1121900000,None,70200000,None,1617900000,8018100000,1992700000,None,6025400000,None,9140000000,10757900000,6025400000,8122100000,None,None,None,None,1617900000,2393700000,27000000,128800000,None,-3071100000,-4994800000,None,None,None,None,3581900000,3581900000,None,None,None,None,-4976200000,None,32500000,-23700000,2024-02-05,2.95,2.82,0.13,4.6099,pre-market
6,2018-12-31,USD,10832600000,21257900000,10425300000,10425300000,8822600000,2200200000,None,2010000000,None,-977200000,4000000,981200000,None,-25300000,None,1482000000,7816100000,1891800000,None,5924300000,None,8797300000,10279300000,5924300000,6966700000,None,None,None,None,1482000000,2741700000,-479400000,-1900000,None,-2455100000,-5949600000,None,None,None,None,3255900000,3255900000,None,None,None,None,-5207700000,None,-1597800000,-159800000,2023-10-30,3.19,3,0.19,6.3333,pre-market
7,2017-12-31,USD,10620800000,22820400000,12199600000,12199600000,9552700000,2231300000,None,1068100000,None,-914300000,7000000,921300000,None,-57900000,None,1363400000,8573500000,3381200000,None,5192300000,None,9494800000,10858200000,5192300000,5551200000,None,None,None,None,1363400000,1853700000,-340700000,-37300000,None,562000000,-5310800000,None,None,None,None,3089200000,3089200000,None,None,None,None,-4685700000,None,1066400000,264000000,2023-07-27,3.17,2.79,0.38,13.6201,pre-market
8,2016-12-31,USD,10204700000,24621900000,14417200000,14417200000,7744500000,2384500000,0,2460200000,None,-880800000,4000000,884800000,None,6300000,None,1516500000,6866000000,2179500000,None,4686500000,None,7750800000,9267300000,4686500000,6059600000,None,None,None,None,1516500000,1821100000,-159000000,28100000,None,-981600000,-11262400000,None,None,None,None,3058200000,3058200000,None,None,None,None,-11171000000,None,-6288100000,-103700000,2023-04-25,2.63,2.33,0.3,12.8755,pre-market
9,2015-12-31,USD,9789200000,25413000000,15623800000,15623800000,7145500000,2434300000,0,2643700000,None,None,573300000,638300000,None,48500000,None,1555700000,6555700000,2026400000,None,4529300000,None,7194000000,8749700000,4529300000,6539100000,None,None,None,None,1555700000,1813900000,-180600000,44900000,None,-1420000000,735300000,None,None,None,None,3230300000,3230300000,None,None,None,None,-6099200000,None,5607600000,-246800000,2023-01-31,2.59,2.45,0.14,5.7143,pre-market
10,2014-12-31,USD,10455700000,27441300000,16985600000,16985600000,7949200000,2487900000,0,2506500000,None,None,None,576400000,None,-6700000,None,1644500000,7372000000,2614200000,None,4757800000,None,7948400000,9592900000,4757800000,6730300000,None,None,None,None,1644500000,2583400000,27000000,-4900000,None,-2304900000,-4618300000,None,None,None,None,3216100000,3216100000,None,None,None,None,-3198600000,None,-720800000,-527900000,2022-10-27,2.68,2.58,0.1,3.876,pre-market
11,2013-12-31,USD,10902700000,28105700000,17203000000,17203000000,8764300000,2385600000,0,2138400000,None,None,None,527800000,None,-37900000,None,1585100000,8204500000,2618600000,None,5585900000,None,8732300000,10317400000,5585900000,7120700000,None,None,None,None,1585100000,2824700000,56200000,-44400000,None,-2673800000,-4043000000,None,None,None,None,3114600000,3114600000,None,None,None,None,-1777800000,None,462600000,58700000,2022-07-26,2.55,2.47,0.08,3.2389,pre-market
12,2012-12-31,USD,10816300000,27567000000,16750700000,16750700000,8604600000,2455200000,0,2211700000,None,None,None,516600000,None,-9000000,None,1488500000,8079000000,2614200000,None,5464800000,None,8595600000,10084100000,5464800000,6966100000,None,None,None,None,1488500000,3049200000,-29400000,-27200000,None,-3167300000,-3849800000,None,None,None,None,2896600000,2896600000,None,None,None,None,-2615100000,None,400000,51400000,2022-04-28,2.28,2.17,0.11,5.0691,pre-market
13,2011-12-31,USD,10686600000,27006000000,16319400000,16319400000,8529700000,2393700000,0,2156900000,None,None,None,492800000,None,-24700000,None,1415000000,8012200000,2509100000,None,5503100000,None,8505000000,9920000000,5503100000,7150100000,None,None,None,None,1415000000,2729800000,-160800000,-52200000,None,-2570900000,-4533000000,None,None,None,None,2609700000,2609700000,None,None,None,None,-3363100000,None,-51300000,-97500000,2022-01-27,2.23,2.34,-0.11,-4.7009,pre-market
14,2010-12-31,USD,9637300000,24074600000,14437300000,14437300000,7473100000,2333300000,0,2164200000,None,None,None,450900000,None,-21900000,None,1276200000,7000300000,2054000000,None,4946300000,None,7451200000,8727400000,4946300000,6341600000,None,None,None,None,1276200000,2135500000,-50100000,-50800000,None,-2056000000,-3728700000,None,None,None,None,2408100000,2408100000,None,None,None,None,-2698500000,None,591000000,34100000,2021-10-27,2.76,2.46,0.3,12.1951,pre-market
