,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,168955000,493271000,324316000,324316000,-27778000,50824000,None,196733000,None,-8381000,None,8381000,None,None,None,29066000,-36159000,54000,None,-36213000,None,-27778000,1288000,-36213000,7561000,None,None,None,None,29066000,28767000,None,-702000,None,None,17289000,None,None,None,None,None,None,None,None,None,None,0,None,None,None,2025-05-15,-0.2,-0.11,-0.09,-81.8182,post-market
1,2023-12-31,USD,84211000,503405000,419194000,419194000,-5029000,51833000,None,89240000,None,-3985000,None,4803000,None,None,None,26792000,-9832000,24000,None,-2744000,None,-5029000,21763000,-9856000,27495000,None,None,None,None,26792000,52043000,None,-303000,None,None,25795000,None,None,None,None,None,None,None,None,None,None,-4981000,None,None,None,2025-03-05,-0.15,-0.1233,-0.0267,-21.6545,post-market
2,2022-12-31,USD,80165000,509480000,429315000,429315000,5332000,49903000,None,74833000,None,-2445000,None,2445000,None,None,None,23268000,-3277000,37000,None,-3314000,None,-832000,22436000,-3314000,9557000,None,None,None,None,23268000,33886000,-2576000,-743000,None,-32309000,22020000,None,None,None,None,None,None,None,None,None,None,0,None,-732000,None,2024-11-06,-0.12,-0.06,-0.06,-100,post-market
3,2021-12-31,USD,82077000,475152000,393075000,393075000,11544000,48200000,None,70533000,None,-2082000,None,2082000,None,None,None,22333000,3735000,70000,None,3665000,None,5817000,28150000,3665000,36165000,None,None,None,None,22333000,18776000,-491000,-382000,None,-18370000,-23380000,None,None,None,None,None,None,None,None,None,None,0,None,-5585000,None,2024-08-07,-0.05,-0.05,0,0,post-market
4,2020-12-31,USD,51539000,393655000,342116000,342116000,-13489000,43319000,None,65028000,None,-3146000,None,3146000,None,None,None,21709000,-23175000,84000,None,-23259000,None,-20029000,1680000,-23259000,9124000,None,None,None,None,21709000,11782000,None,61000,None,-10945000,-798000,None,None,None,None,None,None,None,None,None,None,None,None,-2619000,None,2024-05-08,-0.13,-0.17,0.04,23.5294,post-market
5,2019-12-31,USD,79120000,462411000,383291000,383291000,13186000,43848000,None,65934000,None,-2942000,2942000,2942000,None,-746000,None,22086000,1751000,104000,None,1647000,None,4693000,26779000,1647000,30060000,None,None,None,None,22086000,18791000,None,-625000,None,-18439000,-5817000,None,None,None,None,None,None,None,None,None,None,-252000,None,5804000,None,2024-03-07,-0.07,-0.01,-0.06,-600,post-market
6,2018-12-31,USD,72398000,457841000,385443000,385443000,-3758000,46092000,None,69014000,None,-4305000,None,4305000,None,-626000,None,22872000,-8689000,-248000,None,-8441000,None,-4384000,18488000,-8441000,5346000,None,None,None,None,22872000,14338000,None,-541000,None,-13838000,9786000,None,None,None,None,None,None,None,None,None,None,23741000,None,1294000,None,2023-11-07,0.04,-0.01,0.05,500,post-market
7,2017-12-31,USD,68890000,456492000,387602000,387602000,-33850000,39746000,None,65294000,None,-3839000,None,3839000,None,None,None,24613000,-37689000,-207000,None,-37482000,None,-33850000,-9237000,-45449000,4102000,None,None,None,None,24613000,20828000,None,-387000,None,-20828000,18265000,None,None,None,None,None,None,None,None,None,None,45782000,None,1524000,-15000,2023-08-09,-0.02,0.06,-0.08,-133.3333,post-market
8,2016-12-31,USD,66702000,487474000,420772000,420772000,-67528000,55654000,0,86919000,None,-2916000,None,2916000,None,None,None,28134000,-70444000,1233000,None,-71677000,None,-67528000,-39394000,-71677000,24737000,None,None,None,None,28134000,43335000,None,-790000,None,-42757000,17904000,None,None,None,None,0,0,None,None,None,None,1100000,None,-75000,41000,2023-05-10,-0.05,-0.08,0.03,37.5,post-market
9,2015-12-31,USD,78002000,455451000,377449000,377449000,-21067000,37244000,0,69453000,None,None,1432000,1432000,None,None,None,27802000,-22499000,-8734000,None,-13765000,None,-21067000,6735000,-13765000,44506000,None,None,None,None,27802000,50721000,None,-1058000,None,-50721000,6355000,None,None,None,None,0,0,None,None,None,None,-35000000,None,6000,-134000,2023-03-08,0.03,0.03,0,0,post-market
