,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,50110000000,91854000000,41744000000,41744000000,12887000000,37190000000,None,37223000000,None,-919000000,None,919000000,None,None,None,3815000000,11946000000,2320000000,None,9626000000,None,12865000000,16680000000,9578000000,12507000000,None,None,None,None,3815000000,5318000000,None,-314000000,None,None,-7556000000,None,None,None,None,7229000000,7229000000,None,None,None,None,-1000000000,None,None,None,2025-04-21,1.48,1.4914,-0.0114,-0.7644,pre-market
1,2023-12-31,USD,49590000000,91471000000,41881000000,41881000000,11986000000,14192000000,804000000,37604000000,None,-875000000,None,819000000,None,None,None,3518000000,11417000000,2262000000,None,8366000000,None,12236000000,15754000000,9074000000,13442000000,None,None,None,None,3518000000,5518000000,None,-261000000,None,None,-3009000000,None,None,None,None,6682000000,6682000000,None,None,None,None,-1000000000,None,None,None,2025-02-24,1.96,1.95,0.01,0.5128,pre-market
2,2022-12-31,USD,45816000000,86392000000,40576000000,40576000000,11512000000,13285000000,771000000,34304000000,None,-939000000,None,939000000,None,None,None,3280000000,10705000000,1727000000,None,8978000000,None,11644000000,14924000000,8910000000,10811000000,None,None,None,None,3280000000,5207000000,-1763000000,-1142000000,None,-2430000000,-8523000000,None,None,None,None,6172000000,6172000000,None,None,None,None,-1500000000,None,-142000000,None,2024-10-08,2.31,2.29,0.02,0.8734,pre-market
3,2021-12-31,USD,42399000000,79474000000,37075000000,37075000000,11162000000,11537000000,752000000,31237000000,None,-1863000000,None,1863000000,None,None,None,3215000000,9821000000,2142000000,None,7679000000,None,11684000000,14899000000,7618000000,11616000000,None,None,None,None,3215000000,4625000000,None,-582000000,None,-3269000000,-10780000000,None,None,None,None,5815000000,5815000000,None,None,None,None,-106000000,None,None,None,2024-07-11,2.28,2.16,0.12,5.5556,pre-market
4,2020-12-31,USD,38575000000,70372000000,31797000000,31797000000,10080000000,11995000000,719000000,28495000000,None,-1128000000,None,1128000000,None,None,None,3026000000,9069000000,1894000000,None,7175000000,None,10197000000,13223000000,7120000000,10613000000,None,None,None,None,2548000000,4240000000,-420000000,-516000000,None,-11619000000,3819000000,None,None,None,None,5509000000,5509000000,None,None,None,None,-2000000000,None,2684000000,-129000000,2024-04-23,1.61,1.52,0.09,5.9211,pre-market
5,2019-12-31,USD,37029000000,67161000000,30132000000,30132000000,10291000000,11138000000,711000000,26738000000,None,-935000000,200000000,935000000,None,200000000,None,2844000000,9312000000,1959000000,None,11271000000,None,10247000000,13091000000,7314000000,9649000000,None,None,None,None,2432000000,4232000000,-650000000,-190000000,None,-6437000000,-8489000000,None,None,None,None,5304000000,5304000000,None,None,None,None,-3000000000,None,-5199000000,78000000,2024-02-09,1.78,1.72,0.06,3.4884,pre-market
6,2018-12-31,USD,35280000000,64661000000,29381000000,29381000000,10110000000,24137000000,680000000,25170000000,None,-1219000000,306000000,1219000000,None,306000000,None,2399000000,9189000000,-3370000000,None,5819000000,None,10408000000,12807000000,12515000000,9415000000,None,None,None,None,2399000000,3282000000,-253000000,-174000000,None,4564000000,-13769000000,None,None,None,None,4930000000,4930000000,None,None,None,None,-2103000000,None,112000000,-98000000,2023-10-10,2.25,2.15,0.1,4.6512,pre-market
7,2017-12-31,USD,34729000000,63525000000,28796000000,28796000000,10276000000,23502000000,737000000,24453000000,None,-907000000,244000000,1151000000,None,244000000,None,2369000000,9602000000,4694000000,None,14296000000,None,10753000000,13122000000,4857000000,9994000000,None,None,None,None,2369000000,2969000000,-202000000,-168000000,None,-4403000000,-4186000000,None,None,None,None,4472000000,4472000000,None,None,None,None,-2005000000,None,1452000000,47000000,2023-07-13,2.09,1.96,0.13,6.6327,pre-market
8,2016-12-31,USD,34577000000,62799000000,28222000000,28222000000,9804000000,24735000000,760000000,24773000000,None,-1232000000,110000000,1342000000,None,110000000,None,2368000000,8553000000,2174000000,None,10727000000,None,9895000000,12263000000,6329000000,10404000000,None,None,None,None,2368000000,3040000000,-349000000,-75000000,None,-7148000000,-2942000000,None,None,None,None,4227000000,4227000000,None,None,None,None,-3007000000,None,62000000,-252000000,2023-04-25,1.5,1.39,0.11,7.9137,pre-market
9,2015-12-31,USD,34325000000,63056000000,28731000000,28731000000,8353000000,23568000000,754000000,25972000000,None,None,911000000,970000000,None,59000000,None,2416000000,7442000000,1941000000,None,9383000000,None,8412000000,10828000000,5452000000,10580000000,None,None,None,None,2416000000,2758000000,-461000000,-244000000,None,-3569000000,-3828000000,None,None,None,None,4040000000,4040000000,None,None,None,None,-5005000000,None,2962000000,-221000000,2023-02-09,1.67,1.65,0.02,1.2121,pre-market
10,2014-12-31,USD,35445000000,66683000000,31238000000,31238000000,9581000000,24636000000,718000000,25864000000,None,None,None,909000000,None,85000000,None,2625000000,8757000000,2199000000,None,10956000000,None,9666000000,12291000000,6513000000,10506000000,None,None,None,None,2625000000,2859000000,-343000000,-111000000,None,-4937000000,-8264000000,None,None,None,None,3730000000,3730000000,None,None,None,None,-5012000000,None,-3241000000,-546000000,2022-10-12,1.97,1.84,0.13,7.0652,pre-market
