,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-09-30,USD,9709100000,36176200000,26467100000,26467100000,5408800000,2523300000,None,4300300000,None,-439200000,122800000,562000000,None,None,None,1592400000,4969600000,1207300000,None,3762300000,None,5531600000,7124000000,3760900000,6095600000,None,None,None,None,1592400000,2777500000,None,42800000,None,None,-3718200000,None,None,None,None,2585000000,2585000000,None,None,None,None,-1266700000,None,None,None,2025-04-28,0.41,0.4837,-0.0737,-15.2367,pre-market
1,2023-09-30,USD,9846200000,35975600000,26129400000,26129400000,5870800000,2441300000,None,3975400000,None,-468900000,81200000,550100000,None,None,None,1450300000,5401900000,1277200000,None,4124700000,None,5952000000,7402300000,4124500000,6008700000,None,None,None,None,1450300000,2333600000,None,366400000,None,None,-2990600000,None,None,None,None,2431800000,2431800000,None,None,None,None,-984400000,None,None,None,2025-01-28,0.69,0.85,-0.16,-18.8235,pre-market
2,2022-09-30,USD,8371100000,32250300000,23879200000,23879200000,4617800000,2032000000,None,3753300000,None,-385900000,97000000,482900000,None,97000000,None,1529400000,4231900000,948500000,None,3283400000,None,4714800000,6244200000,3281600000,4397300000,None,None,None,None,1529400000,1841300000,-326100000,-641000000,None,-2146300000,-5638000000,None,None,None,None,2263300000,2263300000,None,None,None,None,-4013000000,None,-3387000000,None,2024-10-30,0.8,1.03,-0.23,-22.3301,post-market
3,2021-09-30,USD,8391000000,29060600000,20669600000,20669600000,4872100000,1932600000,None,3518900000,None,-379700000,90100000,469800000,None,954600000,None,1524100000,5356900000,1156600000,None,4200300000,None,5826700000,7350800000,4199300000,5989100000,None,None,None,None,1524100000,1470000000,43000000,-49800000,None,-319500000,-3651000000,None,None,None,None,2119000000,2119000000,None,None,None,None,215100000,None,2104800000,86200000,2024-07-30,0.93,0.93,0,0,post-market
4,2020-09-30,USD,5059100000,23518000000,18458900000,18458900000,1561700000,1679600000,None,3497400000,None,-397300000,39700000,437000000,None,39700000,None,1503200000,1164400000,239700000,None,924700000,None,1601400000,3104600000,928300000,1597800000,None,None,None,None,1503200000,1483600000,2700000,-10900000,None,-1711500000,1713300000,None,None,None,None,1923500000,1923500000,None,None,None,None,-1698900000,None,1664300000,64700000,2024-04-30,0.68,0.79,-0.11,-13.9241,post-market
5,2019-09-30,USD,7488100000,26508600000,19020500000,19020500000,4077900000,1824100000,None,3410200000,None,-234500000,96500000,331000000,None,719300000,None,1449300000,4466200000,871600000,None,3594600000,None,4797200000,6246500000,3599200000,5047000000,None,None,None,None,1449300000,1806600000,197700000,-173000000,None,-1010800000,-10056900000,None,None,None,None,1761300000,1761300000,None,None,None,None,-10222300000,None,-6069700000,-49000000,2024-01-30,0.9,0.93,-0.03,-3.2258,post-market
6,2018-09-30,USD,7316600000,24719500000,17402900000,17402900000,3883300000,1708200000,0,3433300000,None,21100000,191400000,170300000,None,2067000000,None,1305900000,5780000000,1262000000,None,4518000000,None,5950300000,7256200000,4518300000,11937800000,None,None,None,None,1305900000,1976400000,-131000000,-41200000,None,-2361500000,-3242800000,None,None,None,None,1743400000,1743400000,None,None,None,None,-7133500000,None,6294000000,-39500000,2023-11-02,1.06,0.97,0.09,9.2784,pre-market
7,2017-09-30,USD,6834600000,22386800000,15552200000,15552200000,4134700000,1408400000,0,2699900000,None,182800000,275300000,92500000,None,275300000,None,1067100000,4317500000,1432600000,None,2884900000,None,4410000000,5477100000,2884700000,4174300000,None,None,None,None,1067100000,1519400000,-96800000,14000000,None,-850000000,-3001600000,None,None,None,None,1450400000,1450400000,None,None,None,None,-2042500000,None,333500000,10800000,2023-08-01,1,0.95,0.05,5.2632,post-market
8,2016-09-30,USD,6742600000,21315900000,14573300000,14573300000,4171900000,1408900000,0,2570700000,None,26700000,108000000,81300000,None,108000000,None,1030100000,4198600000,1379700000,None,2818900000,None,4279900000,5310000000,2817700000,4575100000,None,None,None,None,1030100000,1440300000,-55600000,-67500000,None,-2222900000,-1750000000,None,None,None,None,1178000000,1178000000,None,None,None,None,-1995600000,None,598700000,-3500000,2023-05-02,0.74,0.65,0.09,13.8462,post-market
9,2015-09-30,USD,5964100000,19162700000,13198600000,13198600000,3601000000,1196700000,0,2363100000,None,None,27500000,70500000,None,372500000,None,933800000,3903000000,1143700000,None,2759300000,None,3973500000,4907300000,2757400000,3749100000,None,None,None,None,933800000,1303700000,-82800000,-207900000,None,-1520300000,-2256500000,None,None,None,None,928600000,928600000,None,None,None,None,-1436100000,None,-178300000,-150600000,2023-02-02,0.75,0.77,-0.02,-2.5974,post-market
10,2014-09-30,USD,4950800000,16447800000,11497000000,11497000000,3081100000,991300000,0,1869700000,None,None,None,64100000,None,142700000,None,748400000,3159700000,1092000000,None,2067700000,None,3223800000,3972200000,2068100000,607800000,None,None,None,None,748400000,1160900000,-79700000,14300000,None,-817700000,-623300000,None,None,None,None,783100000,783100000,None,None,None,None,-758600000,None,-867300000,-34100000,2022-11-03,0.81,0.72,0.09,12.5,post-market
11,2013-09-30,USD,4198400000,14866800000,10668400000,10668400000,-325400000,937900000,0,4523800000,None,None,None,28100000,None,123600000,None,655600000,-229900000,-238700000,None,8300000,None,-201800000,453800000,8300000,2908300000,None,None,None,None,655600000,1151200000,-68300000,152500000,None,-1411200000,-108200000,None,None,None,None,628900000,628900000,None,None,None,None,-588100000,None,1387100000,-1800000,2022-08-02,0.84,0.75,0.09,12,post-market
12,2012-09-30,USD,3545400000,13276800000,9731400000,9731400000,1997400000,801200000,0,1548000000,None,None,None,32700000,None,94400000,None,580600000,2059100000,674400000,None,1384700000,None,2091800000,2672400000,1383800000,1719500000,None,None,None,None,580600000,856200000,-90300000,-273300000,None,-974000000,-714700000,None,None,None,None,513000000,513000000,None,None,None,None,-549100000,None,40500000,9700000,2022-05-03,0.59,0.59,0,0,post-market
13,2011-09-30,USD,3190000000,11700400000,8510400000,8510400000,1728500000,749300000,15000000,1461500000,None,None,None,33300000,None,115900000,None,550000000,1811100000,563100000,None,1248000000,None,1844400000,2394400000,1245700000,1612400000,None,None,None,None,550000000,531900000,-88700000,-422300000,None,-1019500000,-608000000,None,None,None,None,389500000,389500000,None,None,None,None,-555900000,None,-15900000,-800000,2022-02-01,0.72,0.8,-0.08,-10,post-market
14,2010-09-30,USD,6290900000,10707400000,4416500000,4416500000,1419400000,4177000000,9000000,4871500000,None,None,None,32700000,None,None,None,540800000,1437000000,488700000,None,898000000,None,1469700000,2010500000,945600000,1704900000,None,None,None,None,540800000,440700000,None,123200000,None,-789500000,-346000000,None,None,None,None,171000000,171000000,None,None,None,None,-285600000,None,564200000,-5200000,2021-10-28,1,0.99,0.01,1.0101,post-market
