,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,573918000,1252608000,678690000,678690000,3038000,242116000,None,570880000,None,-2045000,None,2045000,None,None,None,104606000,14244000,3424000,None,10820000,None,16289000,120895000,10207000,171155000,None,None,None,None,104606000,135499000,None,-610000,None,None,-9017000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2025-04-30,0.14,0.09,0.05,55.5556,pre-market
1,2023-12-31,USD,398392000,1087533000,689141000,689141000,5921000,126142000,None,472317000,None,-1614000,None,1717000,None,None,None,93040000,16980000,-4010000,None,2666000,None,18697000,111737000,20264000,132139000,None,None,None,None,93040000,146167000,None,-1220000,None,None,-5684000,None,None,None,None,None,None,None,None,None,None,-2994000,None,None,None,2025-02-13,0.26,0.2452,0.0148,6.0359,pre-market
2,2022-12-31,USD,381544000,900486000,518942000,518942000,-20342000,187298000,None,406013000,None,-1518000,None,1518000,None,4127000,None,74296000,-24285000,1682000,None,-25967000,None,-22767000,51529000,-25967000,76741000,None,None,None,None,74296000,142559000,9139000,-334000,None,-143424000,-5202000,None,None,None,None,1818000,1818000,None,None,None,None,-2242000,None,-71885000,None,2024-10-30,0.25,0.2,0.05,25,pre-market
3,2021-12-31,USD,306517000,739893000,433376000,433376000,-14126000,145224000,None,320738000,None,-1577000,None,1577000,None,95000,None,60236000,-17335000,-7224000,None,-10111000,None,-15757995,44478005,-10111000,58402000,None,None,None,None,60236000,101495000,-4193000,-962000,None,-144890000,242021000,None,None,None,None,3177000,3177000,None,None,None,None,-3554000,None,155533000,None,2024-08-01,0.27,0.27,0,0,pre-market
4,2020-12-31,USD,212718000,522867000,310149000,310149000,-34511000,115842000,None,246443000,None,-815000,None,815000,None,-786000,None,50245000,-45477000,57000,None,-45534000,None,-44662000,5583000,-45534000,37350000,None,None,None,None,50245000,69038000,1006000,-667000,None,-69397000,141821000,None,None,None,None,1818000,1818000,None,None,None,None,-1818000,None,109774000,None,2024-05-02,0.13,0.1,0.03,30,pre-market
5,2019-12-31,USD,265532000,594519000,328987000,328987000,25685000,114100000,None,238495000,None,-434000,None,434000,None,2263000,None,40704000,27514000,3386000,None,24128000,None,27948000,68652000,19827000,89857000,None,None,None,None,40704000,106507000,10726000,-472000,None,-80686000,3178000,None,None,None,None,7805000,7805000,None,None,None,None,-1396000,None,12349000,None,2024-02-15,0.02,0.01,0.01,100,pre-market
6,2018-12-31,USD,211120000,459310000,248190000,248190000,31711000,85430000,0,178492000,None,-2415000,None,2415000,None,1514000,None,29000000,30810000,8862000,None,21948000,None,32628000,61628000,15179000,85395000,None,None,None,None,29000000,87525000,5530000,-491000,None,-86604000,4452000,None,None,None,None,751000,751000,None,None,None,None,-949000,None,3243000,None,2023-11-02,0.17,0.1,0.07,70,pre-market
7,2017-12-31,USD,168733000,358810000,190077000,190077000,33813000,67200000,0,134312000,None,-1643000,None,1643000,None,128123000,None,21704000,160293000,153354000,None,8884000,None,34421000,56125000,-2265000,70878000,None,None,None,None,21704000,61533000,6421000,-452000,None,-61943000,965000,None,None,None,None,2379000,2379000,None,None,None,None,-314000,None,9900000,None,2023-08-03,0.18,0.1,0.08,80,pre-market
8,2016-12-31,USD,129183000,268475000,139292000,139292000,27805000,52376000,0,101344000,None,-374000,None,374000,None,1065000,None,14502000,28496000,6350000,None,22146000,None,27839000,42341000,12446000,54285000,None,None,None,None,14502000,54433000,2974000,-263000,None,-114761000,1234000,None,None,None,None,0,0,None,None,None,None,3194000,None,-59242000,None,2023-05-04,-0.01,-0.08,0.07,87.5,pre-market
9,2015-12-31,USD,91761000,190592000,98831000,98831000,6753000,53032000,0,84991000,None,None,325000,325000,None,None,None,10222000,6428000,3304000,None,3124000,None,20358000,30580000,-8776000,41258000,None,None,None,None,10222000,32117000,775000,-14000,None,-34514000,61428000,None,None,None,None,11125000,11125000,None,None,None,None,4000000,None,68172000,None,2023-02-16,-0.06,-0.11,0.05,45.4545,pre-market
