,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,790011000,2246492000,1456481000,1456481000,371359000,255208000,None,418652000,None,-123881000,None,123881000,None,None,None,157935000,272413000,78056000,None,194357000,None,396294000,554229000,194357000,355307000,None,None,None,None,157935000,94388000,None,138000,None,None,-303098000,None,None,None,None,204443000,204443000,None,None,None,None,-77375000,None,None,None,2025-04-30,0.2,0.2003,-0.0003,-0.1498,pre-market
1,2023-12-31,USD,776468000,2181578000,1405110000,1405110000,381984000,249964000,None,249964000,None,-124061000,None,124061000,None,None,None,148567000,279418000,74978000,None,204440000,None,403479000,552046000,204440000,345416000,None,None,None,None,148567000,85021000,None,439000,None,None,-504303000,None,None,None,None,209253000,209253000,None,None,None,None,-189554000,None,None,None,2025-02-13,0.25,0.2431,0.0069,2.8383,pre-market
2,2022-12-31,USD,720757000,2095505000,1374748000,1374748000,353314000,254979000,None,364710000,None,-122319000,None,122319000,None,12510000,None,169723000,243505000,66135000,None,353314000,None,365824000,535547000,177370000,259904000,None,None,None,None,135808000,85544000,-5857000,-1203000,None,-77776000,288674000,None,None,None,None,106779000,106779000,None,None,None,None,-51950000,None,470802000,None,2024-10-31,0.25,0.25,0,0,pre-market
3,2021-12-31,USD,698256000,1896998000,1198742000,1198742000,366960000,242970000,None,354042000,None,-109185000,None,109185000,None,-17197000,None,166136000,240578000,40186000,None,200392000,None,292415000,458551000,200392000,345772000,None,None,None,None,125540000,77984000,-5613000,-872000,None,-154669000,-242742000,None,None,None,None,94846000,94846000,None,None,None,None,-268531000,None,-51639000,None,2024-08-01,0.27,0.28,-0.01,-3.5714,pre-market
4,2020-12-31,USD,621481000,1733825000,1112344000,1112344000,269308000,206876000,None,331254000,None,-117737000,29067000,117737000,None,1224000,None,161712000,152795000,34963000,None,117832000,None,255194000,416906000,117832000,284361000,None,None,None,None,132775000,68969000,-16243000,-841000,None,-68250000,-157907000,None,None,None,None,64866000,64866000,None,None,None,None,-62173000,None,58204000,None,2024-05-02,0.23,0.21,0.02,9.5238,pre-market
5,2019-12-31,USD,605741000,1709002000,1103261000,1103261000,262579000,200206000,None,320481000,None,-115971000,26333000,115971000,None,24873000,None,131693000,171481000,34541000,None,136940000,None,276587000,408280000,136940000,288933000,None,None,None,None,131693000,74453000,16935000,-163000,None,-54931000,-365296000,None,None,None,None,96364000,96364000,None,None,None,None,-217797000,None,-131294000,None,2024-02-15,0.21,0.23,-0.02,-8.6957,pre-market
6,2018-12-31,USD,603175000,1589936000,986761000,986761000,249892000,217489000,0,339981000,None,-119618000,None,119618000,None,444642000,None,128879000,574916000,114801000,None,460115000,None,282718000,411597000,460115000,224228000,None,None,None,None,128879000,69857000,13226000,-434000,None,362911000,-305762000,None,None,None,None,80532000,80532000,None,None,None,None,-269809000,None,281377000,None,2023-11-02,0.27,0.25,0.02,8,pre-market
7,2017-12-31,USD,622446000,1223408000,600962000,600962000,214758000,208581000,0,341941000,None,-118059000,115747000,118059000,None,4320000,None,125687000,101019000,-93010000,None,194029000,None,273632000,399319000,194029000,251640000,None,None,None,None,125687000,81710000,-17340000,-305000,None,-67311000,-217084000,None,None,None,None,68322000,68322000,None,None,None,None,-126231000,None,-26793000,5962000,2023-08-09,0.28,0.27,0.01,3.7037,pre-market
8,2016-12-31,USD,622957000,1435418000,812461000,812461000,314780000,245869000,0,353784000,None,-114802000,None,114802000,None,1712000,None,120106000,201690000,72066000,None,129624000,None,313598000,433704000,129624000,181408000,None,None,None,None,124304000,150023000,-38657000,34000,None,92107000,-404535000,None,None,None,None,63832000,63832000,None,None,None,None,-336958000,None,-128976000,2044000,2023-05-10,0.21,0.2,0.01,5,pre-market
9,2015-12-31,USD,686224000,1870297000,1184073000,1184073000,274470000,256553000,0,438852000,None,None,33971000,86067000,None,45725000,None,145051000,234128000,94149000,None,139979000,None,248178000,393229000,161142000,212480000,None,None,None,None,153732000,251622000,-52620000,-62000,None,35380000,-175724000,None,None,None,None,71845000,71845000,None,None,None,None,-1098717000,None,59940000,-12196000,2023-03-01,0.22,0.2,0.02,10,pre-market
10,2014-12-31,USD,660267000,2061063000,1400796000,1400796000,251508000,263257000,0,426874000,None,None,None,52192000,None,1953000,None,159353000,201269000,79835000,None,121434000,None,219710000,379063000,121434000,254776000,None,None,None,None,159860000,298471000,-2763000,706000,None,-187812000,-374562000,None,None,None,None,75117000,75117000,None,None,None,None,-301216000,None,-312876000,-5278000,2022-11-09,0.24,0.23,0.01,4.3478,pre-market
11,2013-12-31,USD,647670000,2487410000,1839740000,1839740000,135142000,293792000,0,476396000,None,None,None,69012000,None,-7078000,None,182359000,59052000,14154000,None,44898000,None,169194000,351553000,45487000,329847000,None,None,None,None,200219000,224245000,174000,1477000,None,-76690000,-122901000,None,None,None,None,70681000,70681000,None,None,None,None,-69320000,None,126791000,-3465000,2022-08-10,0.24,0.22,0.02,9.0909,pre-market
12,2012-12-31,USD,623994000,2505242000,1881248000,1881248000,116747000,287808000,0,441119000,None,None,None,98604000,None,-37268000,None,148976000,-19125000,-23083000,None,7958000,None,90677000,239653000,3083000,190415000,None,None,None,None,154174000,197590000,3999000,-561000,None,-189385000,-24129000,None,None,None,None,39043000,39043000,None,None,None,None,7800000,None,-21870000,1229000,2022-05-11,0.17,0.18,-0.01,-5.5556,pre-market
13,2011-12-31,USD,615249000,2431358000,1816109000,1816109000,137121000,292390000,0,461093000,None,None,None,114110000,None,1429000,None,145302000,24440000,6528000,None,17912000,None,132939000,278241000,9875000,246717000,None,None,None,None,145302000,146763000,-2690000,-517000,None,-58197000,-224584000,None,None,None,None,32366000,32366000,None,None,None,None,-157556000,None,-37277000,-1213000,2022-03-01,0.16,0.15,0.01,6.6667,pre-market
14,2010-12-31,USD,805653000,3416414000,2610761000,2610761000,132388000,416606000,0,603788000,None,None,None,137229000,None,-17154000,None,182172000,17670000,21995000,None,-4325000,None,131941000,314113000,-4325000,226250000,None,None,None,None,182172000,147969000,-4730000,394000,None,-112922000,-194150000,None,None,None,None,27621000,27621000,None,None,None,None,-173537000,None,-79211000,1611000,2021-11-10,0.19,0.18,0.01,5.5556,pre-market
