,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,300869000,625807000,324938000,324938000,165616000,116801000,None,135253000,None,-21292000,None,21292000,None,None,None,19490000,147190000,38473000,None,108717000,None,168482000,187972000,108717000,157610000,None,None,None,None,19490000,51929000,None,None,None,None,144765000,None,None,None,None,28869000,28869000,None,None,None,None,-314664000,None,None,None,2025-04-29,1.0258,0.8828,0.143,16.1985,pre-market
1,2023-12-31,USD,222826000,460055000,237229000,237229000,112594000,96898000,None,110232000,None,-18227000,None,18227000,None,None,None,13239000,94310000,24135000,None,70175000,None,112537000,125776000,70175000,121601000,None,None,None,None,13239000,40833000,None,669000,None,None,-155487000,None,None,None,None,24907000,24907000,None,None,None,None,-125401000,None,None,None,2025-02-19,0.9484,0.865,0.0834,9.6416,pre-market
2,2022-12-31,USD,170122000,357521000,187399000,187399000,91933000,67061000,None,77960000,None,-21230000,None,21230000,None,-1387000,None,10899000,69316000,16369000,None,52947000,None,90546000,101445000,52947000,76238000,None,None,None,None,10899000,23940000,-2468000,None,None,-28683000,103254000,None,None,None,None,141279000,141279000,None,None,None,None,3315000,None,150809000,None,2024-10-30,0.88,0.96,-0.08,-8.3333,pre-market
3,2021-12-31,USD,141097000,282502000,141405000,141405000,73756000,62895000,None,70838000,None,-14984000,None,14984000,None,135000,None,7943000,58907000,16249000,None,42658000,None,73891000,81834000,42658000,48878000,None,None,None,None,7943000,28021000,-2135000,-2471000,None,-29853000,-23389000,None,None,None,None,19822000,19822000,None,None,None,None,748000,None,-4364000,None,2024-07-31,0.93,0.82,0.11,13.4146,pre-market
4,2020-12-31,USD,130800000,248811000,118011000,118011000,57390000,68985000,None,76503000,None,-16782000,None,16782000,None,-13665000,None,7518000,26943000,3637000,None,23306000,None,43725000,51243000,23306000,65530000,None,None,None,None,7518000,6052000,246000,-999000,None,-7987000,-19448000,None,None,None,None,163792000,163792000,None,None,None,None,925000,None,38095000,None,2024-05-01,0.98,0.76,0.22,28.9474,pre-market
5,2019-12-31,USD,105680000,199676000,93996000,93996000,42901000,57295000,None,62779000,None,-17136000,None,17136000,None,None,None,5484000,25765000,5289000,None,20476000,None,42901000,48385000,20476000,38583000,None,None,None,None,5484000,22486000,496000,475000,None,-23731000,-14617000,None,None,None,None,11742000,11742000,None,None,None,None,689000,None,235000,None,2024-02-21,0.64,0.57,0.07,12.2807,pre-market
6,2018-12-31,USD,87419000,153181000,65762000,65762000,38527000,44579000,0,48892000,None,-10123000,None,10123000,None,-1477000,None,4313000,26927000,5208000,None,21719000,None,37050000,41363000,21719000,38770000,None,None,None,None,4313000,3982000,-1197000,-349000,None,-10498000,-13724000,None,None,None,None,190737000,190737000,None,None,None,None,-183000,None,14548000,None,2023-11-01,0.69,0.52,0.17,32.6923,pre-market
7,2017-12-31,USD,76807000,105552000,28745000,28745000,36280000,37151000,0,40527000,None,-5131000,None,5131000,None,None,None,3376000,31149000,3845000,None,27304000,None,33873000,37249000,27304000,27049000,None,None,None,None,3376000,2535000,-1368000,-670000,None,-6484000,-20252000,None,None,None,None,4070000,4070000,None,None,None,None,1318000,None,313000,None,2023-08-02,0.57,0.51,0.06,11.7647,pre-market
8,2016-12-31,USD,66051000,91359000,25308000,25308000,29203000,33840000,0,36848000,None,-4396000,4396000,4396000,None,-254000,None,3008000,24553000,9119000,None,15434000,None,28949000,31957000,15434000,22166000,None,None,None,None,3008000,2056000,205000,32000,None,-2056000,-27050000,None,None,None,None,83268000,83268000,None,None,None,None,485000,None,-6940000,None,2023-05-03,0.59,0.45,0.14,31.1111,pre-market
9,2015-12-31,USD,55750000,77969000,22219000,22219000,19718000,33350000,0,36032000,None,None,3477000,3477000,None,-396000,None,2682000,15845000,5739000,None,10106000,None,19322000,22004000,10106000,13047000,None,None,None,None,2682000,1915000,-1004000,-2000,None,-1915000,-10165000,None,None,None,None,47999000,47999000,None,None,None,None,40478000,None,967000,None,2023-02-22,0.6,0.41,0.19,46.3415,pre-market
10,2014-12-31,USD,46976000,67449000,20473000,20473000,18066000,26006000,None,28910000,None,None,None,3684000,None,None,None,2904000,14298000,5312000,None,8986000,None,17982000,20886000,8986000,14370000,None,None,None,None,2904000,1510000,None,-806000,None,-363000,-7457000,None,None,None,None,47999000,47999000,None,None,None,None,573000,None,None,None,2022-10-26,0.45,0.36,0.09,25,pre-market
11,2013-12-31,USD,36823000,58999000,22176000,22176000,14880000,18913000,None,21943000,None,None,None,2863000,None,None,None,3030000,12023000,4493000,None,None,None,14886000,17916000,7530000,10906000,None,None,None,None,3030000,2146000,None,-1733000,None,None,-9842000,None,None,None,None,38528000,38528000,None,None,None,None,None,None,None,None,2022-07-28,0.45,0.36,0.09,25,pre-market
12,2012-12-31,USD,30329000,51591000,21262000,21262000,9003000,15896000,None,18826000,None,None,None,2431000,None,None,None,2930000,6580000,3000000,None,None,None,9011000,11941000,3580000,10421000,None,None,None,None,2930000,1617000,None,598000,None,None,-6902000,None,None,None,None,19281000,19281000,None,None,None,None,None,None,None,None,2022-05-04,0.34,0.4,-0.06,-15,pre-market
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-16,0.24,0.32,-0.08,-25,pre-market
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-03,0.29,0.35,-0.06,-17.1429,pre-market
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-28,0.38,0.33,0.05,15.1515,pre-market
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-28,0.44,0.31,0.13,41.9355,pre-market
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-17,-0.22,0.23,-0.45,-195.6522,pre-market
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-02,0.3,0.34,-0.04,-11.7647,pre-market
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-29,0.34,0.29,0.05,17.2414,pre-market
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-06,0.27,0.24,0.03,12.5,pre-market
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-19,0.14,0.17,-0.03,-17.6471,pre-market
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-30,0.2,0.17,0.03,17.6471,pre-market
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-01,0.17,0.17,0,0,pre-market
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-07,0.22,0.19,0.03,15.7895,post-market
