,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
0,2024-12-31,USD,3584000000,7549000000,3965000000,3965000000,2403000000,1181000000,None,1181000000,None,-489000000,None,489000000,None,None,None,175000000,1900000000,414000000,None,1486000000,None,2471000000,2646000000,1486000000,1689000000,None,None,None,None,175000000,257000000,None,None,None,None,-1163000000,None,None,None,None,752000000,752000000,None,None,None,None,-441000000,None,None,None,2025-04-29,1.3,1.2819,0.0181,1.412,pre-market
1,2023-12-31,USD,3496000000,7076000000,3580000000,3580000000,2318000000,1193000000,None,1179000000,None,-513000000,None,513000000,None,None,None,153000000,1818000000,221000000,None,1597000000,None,2331000000,2484000000,1597000000,1603000000,None,None,None,None,153000000,285000000,None,None,None,None,-1429000000,None,None,None,None,678000000,678000000,None,None,None,None,-50000000,None,None,None,2025-02-05,1.61,1.5959,0.0141,0.8835,pre-market
2,2022-12-31,USD,3307000000,6842000000,3535000000,3535000000,2187000000,1140000000,None,1120000000,None,-527000000,516000000,527000000,None,None,None,196000000,1662000000,337000000,None,1325000000,None,2139000000,2335000000,1325000000,1427000000,None,None,None,None,146000000,279000000,None,84000000,None,-202000000,-1323000000,None,None,None,None,649000000,649000000,None,None,None,None,-1200000000,None,None,None,2024-11-05,1.37,1.41,-0.04,-2.8369,pre-market
3,2021-12-31,USD,3166000000,6584000000,3418000000,3418000000,2139000000,1060000000,None,1027000000,None,-544000000,458000000,544000000,None,86000000,None,210000000,1674000000,99000000,None,1575000000,None,2172000000,2382000000,1575000000,1706000000,None,None,None,None,164000000,230000000,-46000000,46000000,None,-173000000,-1767000000,None,None,None,None,592000000,592000000,None,None,None,None,-1591000000,None,-253000000,-19000000,2024-08-06,1.35,1.33,0.02,1.5038,pre-market
4,2020-12-31,USD,2687000000,5652000000,2965000000,2965000000,1503000000,1064000000,None,1078000000,None,-543000000,469000000,543000000,None,74000000,None,195000000,1020000000,116000000,None,918000000,None,1568000000,1763000000,904000000,1305000000,None,None,None,None,146000000,160000000,62000000,-62000000,None,-335000000,-738000000,None,None,None,None,566000000,566000000,None,None,None,None,-239000000,None,256000000,24000000,2024-05-01,1.15,1.2,-0.05,-4.1667,pre-market
5,2019-12-31,USD,2814000000,5597000000,2783000000,2783000000,1930000000,921000000,None,921000000,None,-486000000,553000000,486000000,None,-67000000,None,166000000,1373000000,79000000,None,1298000000,None,1835000000,2001000000,1294000000,1315000000,None,None,None,None,112000000,196000000,56000000,56000000,None,-88000000,-938000000,None,None,None,None,511000000,511000000,None,None,None,None,-815000000,None,294000000,5000000,2024-02-07,1.26,1.4,-0.14,-10,pre-market
6,2018-12-31,USD,2658000000,5688000000,3030000000,3030000000,2296000000,909000000,None,909000000,None,-452000000,443000000,452000000,None,540000000,None,183000000,1839000000,297000000,None,1542000000,None,2335000000,2518000000,1542000000,1176000000,None,None,None,None,137000000,234000000,66000000,None,None,313000000,-2620000000,None,None,None,None,462000000,462000000,None,None,None,None,-2390000000,None,-1194000000,-63000000,2023-11-01,1.44,1.28,0.16,12.5,pre-market
7,2017-12-31,USD,2687000000,5878000000,3191000000,3191000000,2761000000,1046000000,22000000,1046000000,None,-440000000,440000000,440000000,None,1083000000,None,253000000,2274000000,934000000,None,1340000000,None,1746000000,1999000000,1340000000,1030000000,None,None,None,None,253000000,318000000,19000000,3000000,None,1472000000,-1795000000,None,None,None,None,416000000,416000000,None,None,None,None,-1960000000,None,768000000,61000000,2023-08-02,1.41,1.24,0.17,13.7097,pre-market
8,2016-12-31,USD,2666000000,6356000000,3690000000,3690000000,1682000000,1161000000,24000000,1161000000,None,-307000000,305000000,305000000,None,141000000,None,310000000,1345000000,327000000,None,929000000,None,1585000000,1895000000,1643000000,1204000000,None,None,None,None,309000000,422000000,46000000,1000000,None,-311000000,-677000000,None,None,None,None,744000000,744000000,None,None,None,None,-5403000000,None,728000000,-25000000,2023-05-03,1.06,1.13,-0.07,-6.1947,pre-market
9,2015-12-31,USD,3504000000,13105000000,9601000000,9601000000,1921000000,1504000000,24000000,1504000000,None,None,141000000,134000000,None,-10000000,None,747000000,1787000000,489000000,None,1298000000,None,1092000000,1839000000,1293000000,2139000000,None,None,None,None,747000000,973000000,-54000000,58000000,None,-682000000,-1292000000,None,None,None,None,730000000,730000000,None,None,None,None,-1200000000,None,159000000,-6000000,2023-02-08,1.31,1.26,0.05,3.9683,pre-market
